population,configuration,n_donors_flipped,donors_flipped,is_observed,tf,score,rank
Treg,14,3,JIA_patient_1|JIA_patient_3|JIA_patient_4,FALSE,HSF1,-0.103594689,292
Treg,14,3,JIA_patient_1|JIA_patient_3|JIA_patient_4,FALSE,EPAS1,-1.67198474,548
Treg,15,3,JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,HIF1A,-1.46652016,549
Treg,15,3,JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,NFKB1,0.296943839,247
Treg,15,3,JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,STAT3,-2.65847018,597
Treg,15,3,JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,CREB1,-1.58507035,558
Treg,15,3,JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,ATF3,-1.01909772,509
Treg,15,3,JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,REL,-1.17734646,531
Treg,15,3,JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,HSF1,-0.852210601,481
Treg,15,3,JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,EPAS1,0.229914399,261
Treg,16,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,HIF1A,-4.72604926,594
Treg,16,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,NFKB1,-4.9211855,595
Treg,16,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,STAT3,-5.63309075,601
Treg,16,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,CREB1,-4.00992302,590
Treg,16,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,ATF3,-3.3062227,587
Treg,16,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,REL,-4.22793356,591
Treg,16,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,HSF1,-3.21284605,585
Treg,16,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4,FALSE,EPAS1,-2.02651804,538
Treg,17,1,JIA_patient_6,FALSE,HIF1A,5.79249434,10
Treg,17,1,JIA_patient_6,FALSE,NFKB1,6.84347177,7
Treg,17,1,JIA_patient_6,FALSE,STAT3,6.31136226,8
Treg,17,1,JIA_patient_6,FALSE,CREB1,5.72108043,11
Treg,17,1,JIA_patient_6,FALSE,ATF3,3.82423511,20
Treg,17,1,JIA_patient_6,FALSE,REL,5.85851964,9
Treg,17,1,JIA_patient_6,FALSE,HSF1,4.16920573,15
Treg,17,1,JIA_patient_6,FALSE,EPAS1,2.15834506,89
Treg,18,2,JIA_patient_1|JIA_patient_6,FALSE,HIF1A,3.66649937,10
Treg,18,2,JIA_patient_1|JIA_patient_6,FALSE,NFKB1,3.17989058,13
Treg,18,2,JIA_patient_1|JIA_patient_6,FALSE,STAT3,4.03117416,8
Treg,18,2,JIA_patient_1|JIA_patient_6,FALSE,CREB1,4.22371137,7
Treg,18,2,JIA_patient_1|JIA_patient_6,FALSE,ATF3,2.57823614,36
Treg,18,2,JIA_patient_1|JIA_patient_6,FALSE,REL,3.54511021,11
Treg,18,2,JIA_patient_1|JIA_patient_6,FALSE,HSF1,2.81083679,25
Treg,18,2,JIA_patient_1|JIA_patient_6,FALSE,EPAS1,0.113356819,348
Treg,19,2,JIA_patient_2|JIA_patient_6,FALSE,HIF1A,3.39586961,22
Treg,19,2,JIA_patient_2|JIA_patient_6,FALSE,NFKB1,4.82383667,9
Treg,19,2,JIA_patient_2|JIA_patient_6,FALSE,STAT3,5.4549724,6
Treg,19,2,JIA_patient_2|JIA_patient_6,FALSE,CREB1,3.99235238,16
Treg,19,2,JIA_patient_2|JIA_patient_6,FALSE,ATF3,1.18063296,176
Treg,19,2,JIA_patient_2|JIA_patient_6,FALSE,REL,2.99377161,27
Treg,19,2,JIA_patient_2|JIA_patient_6,FALSE,HSF1,2.18349655,53
Treg,19,2,JIA_patient_2|JIA_patient_6,FALSE,EPAS1,1.78487332,87
Treg,20,3,JIA_patient_1|JIA_patient_2|JIA_patient_6,FALSE,HIF1A,0.0942887874,296
Treg,20,3,JIA_patient_1|JIA_patient_2|JIA_patient_6,FALSE,NFKB1,-0.0166037184,320
Treg,20,3,JIA_patient_1|JIA_patient_2|JIA_patient_6,FALSE,STAT3,2.41286736,22
Treg,20,3,JIA_patient_1|JIA_patient_2|JIA_patient_6,FALSE,CREB1,1.75214369,56
Treg,20,3,JIA_patient_1|JIA_patient_2|JIA_patient_6,FALSE,ATF3,-0.907507163,482
Treg,20,3,JIA_patient_1|JIA_patient_2|JIA_patient_6,FALSE,REL,-0.0231969992,322
Treg,20,3,JIA_patient_1|JIA_patient_2|JIA_patient_6,FALSE,HSF1,-0.245875032,371
Treg,20,3,JIA_patient_1|JIA_patient_2|JIA_patient_6,FALSE,EPAS1,-0.218877007,365
Treg,21,2,JIA_patient_3|JIA_patient_6,FALSE,HIF1A,2.20645684,24
Treg,21,2,JIA_patient_3|JIA_patient_6,FALSE,NFKB1,3.76660384,1
Treg,21,2,JIA_patient_3|JIA_patient_6,FALSE,STAT3,1.56421612,61
Treg,21,2,JIA_patient_3|JIA_patient_6,FALSE,CREB1,2.83783304,7
Treg,21,2,JIA_patient_3|JIA_patient_6,FALSE,ATF3,1.26864672,88
Treg,21,2,JIA_patient_3|JIA_patient_6,FALSE,REL,1.51767334,65
Treg,21,2,JIA_patient_3|JIA_patient_6,FALSE,HSF1,2.22372321,22
Treg,21,2,JIA_patient_3|JIA_patient_6,FALSE,EPAS1,-0.0914848245,351
Treg,22,3,JIA_patient_1|JIA_patient_3|JIA_patient_6,FALSE,HIF1A,-2.05472528,526
Treg,22,3,JIA_patient_1|JIA_patient_3|JIA_patient_6,FALSE,NFKB1,-2.24718107,540
Treg,22,3,JIA_patient_1|JIA_patient_3|JIA_patient_6,FALSE,STAT3,-2.68578011,568
Treg,22,3,JIA_patient_1|JIA_patient_3|JIA_patient_6,FALSE,CREB1,-0.47096354,313
Treg,22,3,JIA_patient_1|JIA_patient_3|JIA_patient_6,FALSE,ATF3,-1.67528832,496
Treg,22,3,JIA_patient_1|JIA_patient_3|JIA_patient_6,FALSE,REL,-2.28553104,546
Treg,22,3,JIA_patient_1|JIA_patient_3|JIA_patient_6,FALSE,HSF1,-1.08161994,406
Treg,22,3,JIA_patient_1|JIA_patient_3|JIA_patient_6,FALSE,EPAS1,-2.67600321,566
Treg,23,3,JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,HIF1A,-1.499376,502
Treg,23,3,JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,NFKB1,0.549844113,160
Treg,23,3,JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,STAT3,0.161553901,230
Treg,23,3,JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,CREB1,0.159087857,231
Treg,23,3,JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,ATF3,-2.37999578,577
Treg,23,3,JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,REL,-2.02734691,555
Treg,23,3,JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,HSF1,-1.17823728,469
Treg,23,3,JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,EPAS1,-0.494841353,362
Treg,24,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,HIF1A,-4.32420221,590
Treg,24,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,NFKB1,-4.4927051,593
Treg,24,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,STAT3,-3.00855673,564
Treg,24,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,CREB1,-2.42278153,532
Treg,24,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,ATF3,-4.21453301,589
Treg,24,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,REL,-4.65866373,595
Treg,24,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,HSF1,-3.69383703,581
Treg,24,4,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_6,FALSE,EPAS1,-2.47721269,537
Treg,25,2,JIA_patient_4|JIA_patient_6,FALSE,HIF1A,2.63438503,18
Treg,25,2,JIA_patient_4|JIA_patient_6,FALSE,NFKB1,4.15462833,6
Treg,25,2,JIA_patient_4|JIA_patient_6,FALSE,STAT3,2.23808058,25
Treg,25,2,JIA_patient_4|JIA_patient_6,FALSE,CREB1,3.32285924,15
Treg,25,2,JIA_patient_4|JIA_patient_6,FALSE,ATF3,1.91527878,37
Treg,25,2,JIA_patient_4|JIA_patient_6,FALSE,REL,4.53820029,3
Treg,25,2,JIA_patient_4|JIA_patient_6,FALSE,HSF1,1.65871566,53
Treg,25,2,JIA_patient_4|JIA_patient_6,FALSE,EPAS1,1.34643525,82
Treg,26,3,JIA_patient_1|JIA_patient_4|JIA_patient_6,FALSE,HIF1A,-1.2472082,444
Treg,26,3,JIA_patient_1|JIA_patient_4|JIA_patient_6,FALSE,NFKB1,-1.40843295,466
Treg,26,3,JIA_patient_1|JIA_patient_4|JIA_patient_6,FALSE,STAT3,-1.76635142,515
Treg,26,3,JIA_patient_1|JIA_patient_4|JIA_patient_6,FALSE,CREB1,0.221330138,180
Treg,26,3,JIA_patient_1|JIA_patient_4|JIA_patient_6,FALSE,ATF3,-0.695466438,361
Treg,26,3,JIA_patient_1|JIA_patient_4|JIA_patient_6,FALSE,REL,0.515235866,136
Treg,26,3,JIA_patient_1|JIA_patient_4|JIA_patient_6,FALSE,HSF1,-1.64614259,502
Treg,26,3,JIA_patient_1|JIA_patient_4|JIA_patient_6,FALSE,EPAS1,-0.726015007,364
Treg,27,3,JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,HIF1A,-1.08368349,451
Treg,27,3,JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,NFKB1,1.33894654,52
Treg,27,3,JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,STAT3,0.718248789,120
Treg,27,3,JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,CREB1,0.6720382,129
Treg,27,3,JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,ATF3,-2.01143755,552
Treg,27,3,JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,REL,0.900051809,98
Treg,27,3,JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,HSF1,-1.96195937,550
Treg,27,3,JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,EPAS1,1.15591749,72
Treg,28,4,JIA_patient_1|JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,HIF1A,-4.30571343,593
Treg,28,4,JIA_patient_1|JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,NFKB1,-4.20138207,591
Treg,28,4,JIA_patient_1|JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,STAT3,-2.74224657,550
Treg,28,4,JIA_patient_1|JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,CREB1,-2.17964376,514
Treg,28,4,JIA_patient_1|JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,ATF3,-3.96249394,589
Treg,28,4,JIA_patient_1|JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,REL,-2.53197509,533
Treg,28,4,JIA_patient_1|JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,HSF1,-4.24577566,592
Treg,28,4,JIA_patient_1|JIA_patient_2|JIA_patient_4|JIA_patient_6,FALSE,EPAS1,-1.18530484,390
Treg,29,3,JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,HIF1A,-2.75450646,555
Treg,29,3,JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,NFKB1,-0.954876296,360
Treg,29,3,JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,STAT3,-3.82956723,585
Treg,29,3,JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,CREB1,-1.44636581,432
Treg,29,3,JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,ATF3,-1.83539441,481
Treg,29,3,JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,REL,-1.44788455,433
Treg,29,3,JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,HSF1,-2.03040309,497
Treg,29,3,JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,EPAS1,-1.23862336,399
Treg,30,4,JIA_patient_1|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,HIF1A,-4.65534904,585
Treg,30,4,JIA_patient_1|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,NFKB1,-4.04108356,578
Treg,30,4,JIA_patient_1|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,STAT3,-5.51275137,592
Treg,30,4,JIA_patient_1|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,CREB1,-3.10897227,551
Treg,30,4,JIA_patient_1|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,ATF3,-3.09330152,550
Treg,30,4,JIA_patient_1|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,REL,-3.08940754,549
Treg,30,4,JIA_patient_1|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,HSF1,-3.66441199,573
Treg,30,4,JIA_patient_1|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,EPAS1,-2.30958874,499
Treg,31,4,JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,HIF1A,-5.30146859,597
Treg,31,4,JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,NFKB1,-3.21967231,558
Treg,31,4,JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,STAT3,-4.55642627,590
Treg,31,4,JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,CREB1,-3.35269613,568
Treg,31,4,JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,ATF3,-4.755475,592
Treg,31,4,JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,REL,-3.71629714,580
Treg,31,4,JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,HSF1,-4.5981018,591
Treg,31,4,JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,EPAS1,-1.04644579,335
Treg,32,5,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,HIF1A,-6.06717313,595
Treg,32,5,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,NFKB1,-5.76458382,594
Treg,32,5,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,STAT3,-5.53318906,593
Treg,32,5,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,CREB1,-4.57464406,584
Treg,32,5,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,ATF3,-5.2590859,590
Treg,32,5,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,REL,-4.66910327,586
Treg,32,5,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,HSF1,-5.33847373,591
Treg,32,5,JIA_patient_1|JIA_patient_2|JIA_patient_3|JIA_patient_4|JIA_patient_6,FALSE,EPAS1,-2.3432933,491
Treg,33,1,JIA_patient_7,FALSE,HIF1A,6.06717313,7
Treg,33,1,JIA_patient_7,FALSE,NFKB1,5.76458382,8
Treg,33,1,JIA_patient_7,FALSE,STAT3,5.53318906,9
Treg,33,1,JIA_patient_7,FALSE,CREB1,4.57464406,18
Treg,33,1,JIA_patient_7,FALSE,ATF3,5.2590859,12
Treg,33,1,JIA_patient_7,FALSE,REL,4.66910327,16
Treg,33,1,JIA_patient_7,FALSE,HSF1,5.33847373,11
Treg,33,1,JIA_patient_7,FALSE,EPAS1,2.3432933,111
Treg,34,2,JIA_patient_1|JIA_patient_7,FALSE,HIF1A,5.30146859,5
Treg,34,2,JIA_patient_1|JIA_patient_7,FALSE,NFKB1,3.21967231,44
Treg,34,2,JIA_patient_1|JIA_patient_7,FALSE,STAT3,4.55642627,12
Treg,34,2,JIA_patient_1|JIA_patient_7,FALSE,CREB1,3.35269613,34
Treg,34,2,JIA_patient_1|JIA_patient_7,FALSE,ATF3,4.755475,10
Treg,34,2,JIA_patient_1|JIA_patient_7,FALSE,REL,3.71629714,22
Treg,34,2,JIA_patient_1|JIA_patient_7,FALSE,HSF1,4.5981018,11
Treg,34,2,JIA_patient_1|JIA_patient_7,FALSE,EPAS1,1.04644579,267
Treg,35,2,JIA_patient_2|JIA_patient_7,FALSE,HIF1A,4.65534904,17
Treg,35,2,JIA_patient_2|JIA_patient_7,FALSE,NFKB1,4.04108356,24
Treg,35,2,JIA_patient_2|JIA_patient_7,FALSE,STAT3,5.51275137,10
Treg,35,2,JIA_patient_2|JIA_patient_7,FALSE,CREB1,3.10897227,51
Treg,35,2,JIA_patient_2|JIA_patient_7,FALSE,ATF3,3.09330152,52
Treg,35,2,JIA_patient_2|JIA_patient_7,FALSE,REL,3.08940754,53
Treg,35,2,JIA_patient_2|JIA_patient_7,FALSE,HSF1,3.66441199,29
Treg,35,2,JIA_patient_2|JIA_patient_7,FALSE,EPAS1,2.30958874,103
Treg,36,3,JIA_patient_1|JIA_patient_2|JIA_patient_7,FALSE,HIF1A,2.75450646,47
Treg,36,3,JIA_patient_1|JIA_patient_2|JIA_patient_7,FALSE,NFKB1,0.954876296,242
Treg,36,3,JIA_patient_1|JIA_patient_2|JIA_patient_7,FALSE,STAT3,3.82956723,17
Treg,36,3,JIA_patient_1|JIA_patient_2|JIA_patient_7,FALSE,CREB1,1.44636581,170
Treg,36,3,JIA_patient_1|JIA_patient_2|JIA_patient_7,FALSE,ATF3,1.83539441,121
