reference_symbol,matrix_symbol,entrez_id,n_aliases_in_vocabulary,resolution
PATJ,INADL,10207,1,accepted
PAXX,C9orf142,286257,1,accepted
PCLAF,KIAA0101,9768,1,accepted
PEAK3,C19orf35,374872,1,accepted
PEDS1,TMEM189,387521,1,accepted
PERM1,C1orf170,84808,1,accepted
PEX39,C6orf226,441150,1,accepted
PGAP4,TMEM246,84302,1,accepted
PGAP6,TMEM8A,58986,1,accepted
PGCKA1,C4orf19,55286,1,accepted
PGGHG,ATHL1,80162,1,accepted
PHAF1,C16orf70,80262,1,accepted
PHB1,PHB,5245,1,accepted
PHETA1,FAM109A,144717,1,accepted
PHETA2,FAM109B,150368,1,accepted
PIDD1,PIDD,55367,1,accepted
PIERCE1,C9orf116,138162,1,accepted
PIERCE2,C15orf65,145788,1,accepted
PIMREG,FAM64A,54478,1,accepted
PIP4P1,TMEM55B,90809,1,accepted
PIP4P2,TMEM55A,55529,1,accepted
PJVK,DFNB59,494513,1,accepted
PLAAT2,HRASLS2,54979,1,accepted
PLAAT3,PLA2G16,11145,1,accepted
PLAAT4,RARRES3,5920,1,accepted
PLAAT5,HRASLS5,117245,1,accepted
PLPBP,PROSC,11212,1,accepted
PLPP1,PPAP2A,8611,1,accepted
PLPP2,PPAP2C,8612,1,accepted
PLPP3,PPAP2B,8613,1,accepted
PLPP5,PPAPDC1B,84513,1,accepted
PLPP7,PPAPDC3,84814,1,accepted
PNMA8A,PNMAL1,55228,1,accepted
POGLUT2,KDELC1,79070,1,accepted
POGLUT3,KDELC2,143888,1,accepted
POLR1F,TWISTNB,221830,1,accepted
POLR1H,ZNRD1,30834,1,accepted
PPP4R3A,SMEK1,55671,1,accepted
PPP4R3B,SMEK2,57223,1,accepted
PRAG1,SGK223,157285,1,accepted
PRELID3A,SLMO1,10650,1,accepted
PRELID3B,SLMO2,51012,1,accepted
PRKN,PARK2,5071,1,accepted
PRMT9,PRMT10,90826,1,accepted
PRORP,KIAA0391,9692,1,accepted
PROSER3,C19orf55,148137,1,accepted
PRP4K,PRPF4B,8899,1,accepted
PRUNE1,PRUNE,58497,1,accepted
PRXL2A,FAM213A,84293,1,accepted
PRXL2B,FAM213B,127281,1,accepted
PRXL2C,AAED1,195827,1,accepted
PSME3IP1,FAM192A,80011,1,accepted
PTGR3,ZADH2,284273,1,accepted
PTPA,PPP2R4,5524,1,accepted
PUDP,HDHD1,8226,1,accepted
PUM3,KIAA0020,9933,1,accepted
PWWP3A,MUM1,84939,1,accepted
PXYLP1,ACPL2,92370,1,accepted
PYCR3,PYCRL,65263,1,accepted
PYM1,WIBG,84305,1,accepted
QARS1,QARS,5859,1,accepted
QNG1,C9orf64,84267,1,accepted
QTRT2,QTRTD1,79691,1,accepted
RAB29,RAB7L1,8934,1,accepted
RAB5IF,C20orf24,55969,1,accepted
RACK1,GNB2L1,10399,1,accepted
RADX,CXorf57,55086,1,accepted
RAMAC,FAM103A1,83640,1,accepted
RARS1,RARS,5917,1,accepted
RBIS,C8orf59,401466,1,accepted
RBSN,ZFYVE20,64145,1,accepted
RCC1L,WBSCR16,81554,1,accepted
REC114,C15orf60,283677,1,accepted
REDIC1,C12orf40,283461,1,accepted
RELCH,KIAA1468,57614,1,accepted
RESF1,KIAA1551,55196,1,accepted
RETREG1,FAM134B,54463,1,accepted
RETREG2,FAM134A,79137,1,accepted
RETREG3,FAM134C,162427,1,accepted
RFLNA,FAM101A,144347,1,accepted
RFLNB,FAM101B,359845,1,accepted
RHEX,C1orf186,440712,1,accepted
RIC1,KIAA1432,57589,1,accepted
RIDA,HRSP12,10247,1,accepted
RIGI,DDX58,23586,1,accepted
RIMOC1,C5orf51,285636,1,accepted
RIOX2,MINA,84864,1,accepted
RIPOR1,FAM65A,79567,1,accepted
RIPOR2,FAM65B,9750,1,accepted
RLIG1,C12orf29,91298,1,accepted
RMC1,C18orf8,29919,1,accepted
RNF212B,C14orf164,100507650,1,accepted
RO60,TROVE2,6738,1,accepted
RPSA2,RPSAP58,388524,1,accepted
RSKR,SGK494,124923,1,accepted
RSPH14,RTDR1,27156,1,accepted
RSRP1,C1orf63,57035,1,accepted
RTF2,RTFDC1,51507,1,accepted
RTL10,C22orf29,79680,1,accepted
RTP5,CXXC11,285093,1,accepted
RTRAF,C14orf166,51637,1,accepted
RUBCN,KIAA0226,9711,1,accepted
RUBCNL,KIAA0226L,80183,1,accepted
RXYLT1,TMEM5,10329,1,accepted
SAMTOR,C7orf60,154743,1,accepted
SANBR,KIAA1841,84542,1,accepted
SARAF,TMEM66,51669,1,accepted
SARS1,SARS,6301,1,accepted
SAXO1,FAM154A,158297,1,accepted
SAXO2,FAM154B,283726,1,accepted
SAXO4,PPP1R32,220004,1,accepted
SCX,SCXA,642658,1,accepted
SDHAF3,ACN9,57001,1,accepted
SDHAF4,C6orf57,135154,1,accepted
SELENOF,SEP15,9403,1,accepted
SELENOH,C11orf31,280636,1,accepted
SELENOI,EPT1,85465,1,accepted
SELENOK,SELK,58515,1,accepted
SELENOM,SELM,140606,1,accepted
SELENON,SEPN1,57190,1,accepted
SELENOO,SELO,83642,1,accepted
SELENOS,VIMP,55829,1,accepted
SELENOT,SELT,51714,1,accepted
SELENOW,SEPW1,6415,1,accepted
SEPTIN1,SEPT1,1731,1,accepted
SEPTIN10,SEPT10,151011,1,accepted
SEPTIN11,SEPT11,55752,1,accepted
SEPTIN2,SEPT2,4735,1,accepted
SEPTIN3,SEPT3,55964,1,accepted
SEPTIN5,SEPT5,5413,1,accepted
SEPTIN7,SEPT7,989,1,accepted
SEPTIN8,SEPT8,23176,1,accepted
SF3B6,SF3B14,51639,1,accepted
SGF29,CCDC101,112869,1,accepted
SGO1,SGOL1,151648,1,accepted
SGO2,SGOL2,151246,1,accepted
SHFL,C19orf66,55337,1,accepted
SHLD1,C20orf196,149840,1,accepted
SHLD2,FAM35A,54537,1,accepted
SHLD3,CTC-534A2.2,112441434,1,accepted
SHOC1,C9orf84,158401,1,accepted
SHTN1,KIAA1598,57698,1,accepted
SINHCAF,FAM60A,58516,1,accepted
SKIC2,SKIV2L,6499,1,accepted
SKIC3,TTC37,9652,1,accepted
SKIC8,WDR61,80349,1,accepted
SLC35E2A,SLC35E2,9906,1,accepted
SLC49A3,MFSD7,84179,1,accepted
SLC49A4,DIRC2,84925,1,accepted
SLC66A1,PQLC2,54896,1,accepted
SLC66A2,PQLC1,80148,1,accepted
SLC66A3,PQLC3,130814,1,accepted
SLC67A1,SLC22A18,5002,1,accepted
SLF1,ANKRD32,84250,1,accepted
SLF2,FAM178A,55719,1,accepted
SLX9,FAM207A,85395,1,accepted
SMIM26,LINC00493,388789,1,accepted
SMIM30,LINC00998,401397,1,accepted
SNORA50C,SNORA76,677842,1,accepted
SNORC,C2orf82,389084,1,accepted
SNU13,NHP2L1,4809,1,accepted
SPACA9,C9orf9,11092,1,accepted
SPACDR,C7orf61,402573,1,accepted
SPART,SPG20,23111,1,accepted
SPINDOC,C11orf84,144097,1,accepted
SPMAP1,C17orf98,388381,1,accepted
SPMIP4,C7orf31,136895,1,accepted
SPMIP6,C9orf24,84688,1,accepted
SPMIP7,C7orf72,100130988,1,accepted
SPMIP8,TEPP,374739,1,accepted
SPOUT1,C9orf114,51490,1,accepted
SPRING1,C12orf49,79794,1,accepted
SPX,C12orf39,80763,1,accepted
SQOR,SQRDL,58472,1,accepted
SRPRA,SRPR,6734,1,accepted
SSC4D,SRCRB4D,136853,1,accepted
STEEP1,CXorf56,63932,1,accepted
STIMATE,TMEM110,375346,1,accepted
STING1,TMEM173,340061,1,accepted
STK26,MST4,51765,1,accepted
STKLD1,C9orf96,169436,1,accepted
STMP1,C7orf73,647087,1,accepted
STN1,OBFC1,79991,1,accepted
STPG4,C2orf61,285051,1,accepted
STYXL2,DUSP27,92235,1,accepted
SUSD6,KIAA0247,9766,1,accepted
SVBP,CCDC23,374969,1,accepted
TAFA1,FAM19A1,407738,1,accepted
TAFA2,FAM19A2,338811,1,accepted
TAFAZZIN,TAZ,6901,1,accepted
TAMALIN,GRASP,160622,1,accepted
TARS1,TARS,6897,1,accepted
TARS3,TARSL2,123283,1,accepted
TASL,CXorf21,80231,1,accepted
TASOR,FAM208A,23272,1,accepted
TASOR2,FAM208B,54906,1,accepted
TCAF1,FAM115A,9747,1,accepted
TCAF2,FAM115C,285966,1,accepted
TEDC1,C14orf80,283643,1,accepted
TEDC2,C16orf59,80178,1,accepted
TEKTIP1,C19orf71,100128569,1,accepted
TENT2,PAPD4,167153,1,accepted
TENT4B,PAPD5,64282,1,accepted
TENT5A,FAM46A,55603,1,accepted
TENT5C,FAM46C,54855,1,accepted
TEPSIN,ENTHD2,146705,1,accepted
TERB1,CCDC79,283847,1,accepted
TESMIN,MTL5,9633,1,accepted
TEX46,C1orf234,729059,1,accepted
TEX56P,C6orf201,404220,1,accepted
THAP12,PRKRIR,5612,1,accepted
TIGAR,C12orf5,57103,1,accepted
TIMM29,C19orf52,90580,1,accepted
TKFC,DAK,26007,1,accepted
TLCD3A,FAM57A,79850,1,accepted
TLCD3B,FAM57B,83723,1,accepted
TLCD4,TMEM56,148534,1,accepted
TLE5,AES,166,1,accepted
TLNRD1,MESDC1,59274,1,accepted
TMEM131L,KIAA0922,23240,1,accepted
TMEM14EP,TMEM14E,645843,1,accepted
TMEM250,C9orf69,90120,1,accepted
TMEM266,C15orf27,123591,1,accepted
TMEM273,C10orf128,170371,1,accepted
TMEM94,KIAA0195,9772,1,accepted
TMT1A,METTL7A,25840,1,accepted
TMT1B,METTL7B,196410,1,accepted
TNS2,TENC1,23371,1,accepted
TOGARAM1,FAM179B,23116,1,accepted
TOGARAM2,FAM179A,165186,1,accepted
TOMM70,TOMM70A,9868,1,accepted
TOP6BL,C11orf80,79703,1,accepted
TRAPPC14,C7orf43,55262,1,accepted
TRAPPC2B,TRAPPC2P1,10597,1,accepted
TRARG1,TUSC5,286753,1,accepted
TRIR,C19orf43,79002,1,accepted
TRMO,C9orf156,51531,1,accepted
TRMT9B,KIAA1456,57604,1,accepted
TSPOAP1,BZRAP1,9256,1,accepted
TUT4,ZCCHC11,23318,1,accepted
TUT7,ZCCHC6,79670,1,accepted
TWNK,C10orf2,56652,1,accepted
UFD1,UFD1L,7353,1,accepted
UQCC3,C11orf83,790955,1,accepted
UQCC4,C16orf91,283951,1,accepted
UQCC5,SMIM4,440957,1,accepted
UQCC6,C12orf73,728568,1,accepted
USF3,KIAA2018,205717,1,accepted
USP41P,USP41,373856,1,accepted
UTP11,UTP11L,51118,1,accepted
UTP25,DIEXF,27042,1,accepted
UTP4,CIRH1A,84916,1,accepted
VIRMA,KIAA1429,25962,1,accepted
VMA12,TMEM199,147007,1,accepted
VMA22,CCDC115,84317,1,accepted
VPS26C,DSCR3,10311,1,accepted
VPS35L,C16orf62,57020,1,accepted
VPS50,CCDC132,55610,1,accepted
VSIR,C10orf54,64115,1,accepted
VXN,C8orf46,254778,1,accepted
WAPL,WAPAL,23063,1,accepted
WARS1,WARS,7453,1,accepted
WASHC3,CCDC53,51019,1,accepted
WASHC4,KIAA1033,23325,1,accepted
WASHC5,KIAA0196,9897,1,accepted
WDCP,C2orf44,80304,1,accepted
WHR1,STK19,8859,1,accepted
WHRN,DFNB31,25861,1,accepted
YAE1,YAE1D1,57002,1,accepted
YARS1,YARS,8565,1,accepted
YJU2,CCDC94,55702,1,accepted
YJU2B,CCDC130,81576,1,accepted
ZFTA,C11orf95,65998,1,accepted
ZFTRAF1,CYHR1,50626,1,accepted
ZGRF1,C4orf21,55345,1,accepted
ZNF724,ZNF724P,440519,1,accepted
ZNF875,HKR1,284459,1,accepted
ZNG1A,CBWD1,55871,1,accepted
ZNG1B,CBWD2,150472,1,accepted
ZNG1C,CBWD3,445571,1,accepted
ZNRD2,SSSCA1,10534,1,accepted
ZPR1,ZNF259,8882,1,accepted
ZRSR2P1,ZRSR1,7310,1,accepted
ZUP1,ZUFSP,221302,1,accepted
MIR4435-2HG,MIR4435-1HG,541471,1,flagged_for_review
ACOD1,CAD,730249,1,rejected_symbol_belongs_to_another_gene
ADCY8,ADCY3,114,1,rejected_symbol_belongs_to_another_gene
ADRA2A,ZNF32,150,1,rejected_symbol_belongs_to_another_gene
AKR1B10,ARL1,57016,1,rejected_symbol_belongs_to_another_gene
ART4,DOK1,420,1,rejected_symbol_belongs_to_another_gene
ARTN,NBN,9048,1,rejected_symbol_belongs_to_another_gene
ASDURF,ASNSD1,110599588,1,rejected_symbol_belongs_to_another_gene
BUB1B-PAK6,PAK6,106821730,1,rejected_symbol_belongs_to_another_gene
CADPS2,CAPS2,93664,1,rejected_symbol_belongs_to_another_gene
CGB3,LHB,1082,1,rejected_symbol_belongs_to_another_gene
CHGA,CGA,1113,1,rejected_symbol_belongs_to_another_gene
CNGB1,GAR1,1258,1,rejected_symbol_belongs_to_another_gene
CNTN1,F3,1272,1,rejected_symbol_belongs_to_another_gene
CRABP1,RBP5,1381,1,rejected_symbol_belongs_to_another_gene
CRNN,DRC1,49860,1,rejected_symbol_belongs_to_another_gene
CSRP3,LMO4,8048,1,rejected_symbol_belongs_to_another_gene
CYP1A1,AHRR,1543,1,rejected_symbol_belongs_to_another_gene
DEFA6,DEF6,1671,1,rejected_symbol_belongs_to_another_gene
DMBT1,SAG,1755,1,rejected_symbol_belongs_to_another_gene
DPEP1,MBD1,1800,1,rejected_symbol_belongs_to_another_gene
DSCAM,CHD2,1826,1,rejected_symbol_belongs_to_another_gene
DSPP,DSP,1834,1,rejected_symbol_belongs_to_another_gene
EEF1AKMT4-ECE2,ECE2,110599583,1,rejected_symbol_belongs_to_another_gene
EPX,EPO,8288,1,rejected_symbol_belongs_to_another_gene
ERC2,CAST,26059,1,rejected_symbol_belongs_to_another_gene
FZD9,FZD3,8326,1,rejected_symbol_belongs_to_another_gene
GAL3ST3,GAL3ST2,89792,1,rejected_symbol_belongs_to_another_gene
GALNT14,GALNT15,79623,1,rejected_symbol_belongs_to_another_gene
GALNTL5,GALNT15,168391,1,rejected_symbol_belongs_to_another_gene
GC,DBP,2638,1,rejected_symbol_belongs_to_another_gene
GJD3,GJC1,125111,1,rejected_symbol_belongs_to_another_gene
GKN1,CA11,56287,1,rejected_symbol_belongs_to_another_gene
GUCY2C,STAR,2984,1,rejected_symbol_belongs_to_another_gene
HCRTR1,OXR1,3061,1,rejected_symbol_belongs_to_another_gene
HLA-DRB3,HLA-DPB1,3125,1,rejected_symbol_belongs_to_another_gene
HSP90B2P,TRAP1,7190,1,rejected_symbol_belongs_to_another_gene
IGHA2,A2M,3494,1,rejected_symbol_belongs_to_another_gene
KCNA4,HK1,3739,1,rejected_symbol_belongs_to_another_gene
KCNA5,HK2,3741,1,rejected_symbol_belongs_to_another_gene
KCNH8,ELK1,131096,1,rejected_symbol_belongs_to_another_gene
KIR2DS2,KIR2DL1,100132285,1,rejected_symbol_belongs_to_another_gene
KRT9,EPPK1,3857,1,rejected_symbol_belongs_to_another_gene
KRTAP11-1,HACL1,337880,1,rejected_symbol_belongs_to_another_gene
KRTAP5-3,KRTAP5-9,387266,1,rejected_symbol_belongs_to_another_gene
LAMA4,LAMA3,3910,1,rejected_symbol_belongs_to_another_gene
LGALS13,PLAC8,29124,1,rejected_symbol_belongs_to_another_gene
LRP4,LRP10,4038,1,rejected_symbol_belongs_to_another_gene
LSM8,NAA38,51691,1,rejected_symbol_belongs_to_another_gene
MAFIP,MIP,727764,1,rejected_symbol_belongs_to_another_gene
MAGEC2,MAGEE1,51438,1,rejected_symbol_belongs_to_another_gene
MAGED4,MAGEE1,728239,1,rejected_symbol_belongs_to_another_gene
MBL2,MBP,4153,1,rejected_symbol_belongs_to_another_gene
MEIS3P1,MEIS3,4213,1,rejected_symbol_belongs_to_another_gene
MIURF,MIEF1,127898561,1,rejected_symbol_belongs_to_another_gene
MMP1,CLGN,4312,1,rejected_symbol_belongs_to_another_gene
MMP12,MME,4321,1,rejected_symbol_belongs_to_another_gene
MOGAT2,MGAT2,80168,1,rejected_symbol_belongs_to_another_gene
MTCO2P12,MT-CO2,107075310,1,rejected_symbol_belongs_to_another_gene
MUSK,FADS1,4593,1,rejected_symbol_belongs_to_another_gene
MYH2,MYPOP,4620,1,rejected_symbol_belongs_to_another_gene
MYL1,MLC1,4632,1,rejected_symbol_belongs_to_another_gene
MYZAP,GCOM1,100820829,1,rejected_symbol_belongs_to_another_gene
NANOS2,NOS2,339345,1,rejected_symbol_belongs_to_another_gene
NAPSB,NAPB,256236,1,rejected_symbol_belongs_to_another_gene
NAT8,GLA,9027,1,rejected_symbol_belongs_to_another_gene
NELL1,NRP1,4745,1,rejected_symbol_belongs_to_another_gene
NKX2-1,TTF1,7080,1,rejected_symbol_belongs_to_another_gene
NLRP2B,POP4,286430,1,rejected_symbol_belongs_to_another_gene
NLRP4,PAN2,147945,1,rejected_symbol_belongs_to_another_gene
NR5A1,SF1,2516,1,rejected_symbol_belongs_to_another_gene
OCM2,OCM,4951,1,rejected_symbol_belongs_to_another_gene
ODF1,ODF2,4956,1,rejected_symbol_belongs_to_another_gene
OR1L6,OR1K1,392390,1,rejected_symbol_belongs_to_another_gene
OR2A4,OR2A7,79541,1,rejected_symbol_belongs_to_another_gene
PCDHA6,CNR2,56142,1,rejected_symbol_belongs_to_another_gene
PCDHB11,ME2,56125,1,rejected_symbol_belongs_to_another_gene
PCDHB16,ME1,57717,1,rejected_symbol_belongs_to_another_gene
PHOX2A,NCAM2,401,1,rejected_symbol_belongs_to_another_gene
PITX3,PTX3,5309,1,rejected_symbol_belongs_to_another_gene
PLEKHA8P1,PLEKHA8,51054,1,rejected_symbol_belongs_to_another_gene
PLPPR2,PRG4,64748,1,rejected_symbol_belongs_to_another_gene
PLPPR3,PRG2,79948,1,rejected_symbol_belongs_to_another_gene
POLGARF,POLG,125316803,1,rejected_symbol_belongs_to_another_gene
PRSS58,PRSS1,136541,1,rejected_symbol_belongs_to_another_gene
PSG1,SP1,5669,1,rejected_symbol_belongs_to_another_gene
RNASE12,RAI1,493901,1,rejected_symbol_belongs_to_another_gene
RNASE7,RAE1,84659,1,rejected_symbol_belongs_to_another_gene
SDHCP5,SDHC,642502,1,rejected_symbol_belongs_to_another_gene
SEC14L3,TAP2,266629,1,rejected_symbol_belongs_to_another_gene
SERPINA2,ATR,390502,1,rejected_symbol_belongs_to_another_gene
SFTPA1,PSAP,653509,1,rejected_symbol_belongs_to_another_gene
SFTPA2,PSAP,729238,1,rejected_symbol_belongs_to_another_gene
SLC18A1,VAT1,6570,1,rejected_symbol_belongs_to_another_gene
SLC25A21,ODC1,89874,1,rejected_symbol_belongs_to_another_gene
SLC38A3,NAT1,10991,1,rejected_symbol_belongs_to_another_gene
SLC6A5,NET1,9152,1,rejected_symbol_belongs_to_another_gene
SLC7A5P2,MMAA,387254,1,rejected_symbol_belongs_to_another_gene
SLCO1B1,LST1,10599,1,rejected_symbol_belongs_to_another_gene
SLIT1,SLIT3,6585,1,rejected_symbol_belongs_to_another_gene
SLPI,MPI,6590,1,rejected_symbol_belongs_to_another_gene
SLX1A-SULT1A3,SULT1A3,100526830,1,rejected_symbol_belongs_to_another_gene
SMOC2,SMAP2,64094,1,rejected_symbol_belongs_to_another_gene
SP8,BTD,221833,1,rejected_symbol_belongs_to_another_gene
SPPL2B,IMP4,56928,1,rejected_symbol_belongs_to_another_gene
SRMS,SRM,6725,1,rejected_symbol_belongs_to_another_gene
SRP9P1,SRP9,653226,1,rejected_symbol_belongs_to_another_gene
TAC4,HK1,255061,1,rejected_symbol_belongs_to_another_gene
TARP,CD3G,445347,1,rejected_symbol_belongs_to_another_gene
TBC1D3D,TBC1D3,101060389,1,rejected_symbol_belongs_to_another_gene
TBC1D3E,TBC1D3,102723859,1,rejected_symbol_belongs_to_another_gene
TBC1D3I,TBC1D3,102724862,1,rejected_symbol_belongs_to_another_gene
TDO2,TPH2,6999,1,rejected_symbol_belongs_to_another_gene
THPO,TPO,7066,1,rejected_symbol_belongs_to_another_gene
TINAGL1,ARG1,64129,1,rejected_symbol_belongs_to_another_gene
TMSB15C,TMSB15B,122394733,1,rejected_symbol_belongs_to_another_gene
TNNI3,TNNC1,7137,1,rejected_symbol_belongs_to_another_gene
TP53TG3E,TP53TG3D,102724101,1,rejected_symbol_belongs_to_another_gene
TTR,TTN,7276,1,rejected_symbol_belongs_to_another_gene
ZNF761,ZNF468,388561,1,rejected_symbol_belongs_to_another_gene
ZP4,ZP1,57829,1,rejected_symbol_belongs_to_another_gene
ADGRE2,CD97/EMR2,30817,2,rejected_multiple_aliases_in_vocabulary
AZIN2,ADC/AZI2,113451,2,rejected_multiple_aliases_in_vocabulary
BORCS8-MEF2B,MEF2B/MEF2BNB-MEF2B,4207,2,rejected_multiple_aliases_in_vocabulary
CFAP73,CCDC42B/MIA2,387885,2,rejected_multiple_aliases_in_vocabulary
CRAMP1,CRAMP1L/HN1L,57585,2,rejected_multiple_aliases_in_vocabulary
DUSP29,DUPD1/DUSP27,338599,2,rejected_multiple_aliases_in_vocabulary
EPRS1,EPRS/QARS,2058,2,rejected_multiple_aliases_in_vocabulary
ERLN,ELN/SMIM6,100130933,2,rejected_multiple_aliases_in_vocabulary
FCGR1BP,CD34/FCGR1B,2210,2,rejected_multiple_aliases_in_vocabulary
GARS1,GARS/SMAD1,2617,2,rejected_multiple_aliases_in_vocabulary
GATD3,C21orf33/HES1,8209,2,rejected_multiple_aliases_in_vocabulary
GDNF,ATF1/ATF2,2668,2,rejected_multiple_aliases_in_vocabulary
GET1,CHD5/WRB,7485,2,rejected_multiple_aliases_in_vocabulary
H2BC5,HIST1H2BC/HIST1H2BD/HIST1H2BE/HIST1H2BF/HIST1H2BG/HIST1H2BI,3017,6,rejected_multiple_aliases_in_vocabulary
IFT70A,TTC30A/TTC30B,92104,2,rejected_multiple_aliases_in_vocabulary
LNPK,KIAA1715/LNP1,80856,2,rejected_multiple_aliases_in_vocabulary
MELTF,MFI2/MTF1,4241,2,rejected_multiple_aliases_in_vocabulary
MICOS10-NBL1,MINOS1-NBL1/NBL1,100532736,2,rejected_multiple_aliases_in_vocabulary
MINDY4,AQP1/FAM188B,84182,2,rejected_multiple_aliases_in_vocabulary
MRTFA,MAL/MKL1,57591,2,rejected_multiple_aliases_in_vocabulary
MYDGF,C19orf10/IL27,56005,2,rejected_multiple_aliases_in_vocabulary
NECTIN3,PRR3/PVRL3,25945,2,rejected_multiple_aliases_in_vocabulary
NECTIN4,PRR4/PVRL4,81607,2,rejected_multiple_aliases_in_vocabulary
PALM2AKAP2,AKAP2/PALM2/PALM2-AKAP2,445815,3,rejected_multiple_aliases_in_vocabulary
PLPP6,PDP1/PPAPDC2,403313,2,rejected_multiple_aliases_in_vocabulary
POLR1G,CAST/CD3EAP,10849,2,rejected_multiple_aliases_in_vocabulary
POPDC1,BVES/POP1,11149,2,rejected_multiple_aliases_in_vocabulary
PTPN20,PTPN20A/PTPN20B,26095,2,rejected_multiple_aliases_in_vocabulary
SELENOP,SELP/SEPP1,6414,2,rejected_multiple_aliases_in_vocabulary
SEM1,ECD/SHFM1,7979,2,rejected_multiple_aliases_in_vocabulary
SEPTIN4,C17orf47/SEPT4,5414,2,rejected_multiple_aliases_in_vocabulary
SEPTIN6,SEPT2/SEPT6,23157,2,rejected_multiple_aliases_in_vocabulary
SEPTIN9,NAPB/SEPT9,10801,2,rejected_multiple_aliases_in_vocabulary
SLC6A2,NAT1/NET1,6530,2,rejected_multiple_aliases_in_vocabulary
SOX9,SRA1/TES,6662,2,rejected_multiple_aliases_in_vocabulary
SPAM1,HYAL1/HYAL3,6677,2,rejected_multiple_aliases_in_vocabulary
TENT4A,PAPD7/POLK,11044,2,rejected_multiple_aliases_in_vocabulary
VARS1,VARS/VARS2,7407,2,rejected_multiple_aliases_in_vocabulary
WASHC2A,FAM21A/FAM21B,387680,2,rejected_multiple_aliases_in_vocabulary
WASHC2C,FAM21A/FAM21C,253725,2,rejected_multiple_aliases_in_vocabulary
ZNG1E,CBWD3/CBWD5,220869,2,rejected_multiple_aliases_in_vocabulary
ZNG1F,CBWD6/CBWD7,644019,2,rejected_multiple_aliases_in_vocabulary
HBD,NA,NA,NA,rejected_reference_symbol_ambiguous_in_org_db
MMD2,NA,NA,NA,rejected_reference_symbol_ambiguous_in_org_db
