"population","database","pathway_id","direction","nes","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","n_sig_pooled_in_database","n_sig_per_database_only"
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION","up",2.08583617,0.00365743243,0.00323710203,25,5777,11242,501,482
"CD8","GO_BP","GOBP_GLYCOLYTIC_PROCESS_THROUGH_GLUCOSE_6_PHOSPHATE","up",2.07649998,0.00365743243,0.00323710203,19,5777,11242,501,482
"CD8","GO_BP","GOBP_TYPE_2_IMMUNE_RESPONSE","up",2.02655397,0.00365743243,0.00323710203,33,5777,11242,501,482
"CD8","GO_BP","GOBP_GLIAL_CELL_DIFFERENTIATION","up",1.77712749,0.00365743243,0.00323710203,147,5777,11242,501,482
"CD8","GO_BP","GOBP_RESPONSE_TO_TYPE_I_INTERFERON","up",1.84374313,0.00372049319,0.0033047688,99,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","up",1.83727379,0.00399805928,0.00356592238,100,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSPORT","up",1.83239966,0.00399805928,0.00356592238,85,5777,11242,501,482
"CD8","GO_BP","GOBP_EOSINOPHIL_CHEMOTAXIS","up",1.93910912,0.00402219743,0.0035893813,7,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS","up",2.05936203,0.00404074957,0.00362124774,21,5777,11242,501,482
"CD8","GO_BP","GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS","up",1.70991853,0.00404074957,0.00363039412,173,5777,11242,501,482
"CD8","GO_BP","GOBP_MONOCYTE_DIFFERENTIATION","up",2.05989092,0.00407579918,0.00366600179,31,5777,11242,501,482
"CD8","GO_BP","GOBP_WOUND_HEALING","up",1.6317309,0.00407579918,0.00366600179,258,5777,11242,501,482
"CD8","GO_BP","GOBP_TRNA_MODIFICATION","down",-1.85696158,0.00410078742,0.0037009171,87,5777,11242,501,482
"CD8","GO_BP","GOBP_HOST_MEDIATED_SUPPRESSION_OF_VIRAL_GENOME_REPLICATION","up",1.9846002,0.00471310089,0.00421896363,9,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY","up",1.66632935,0.00478867456,0.0043009504,209,5777,11242,501,482
"CD8","GO_BP","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","up",1.89435853,0.00511981618,0.00460053651,62,5777,11242,501,482
