"tf","focus_tf","regulon_size","statistic","score","size_expected","null_mean","null_sd","null_q95","obs","pct_of_null","p_empirical","z_vs_null"
"GTF3A",FALSE,17,"CollecTRI-ULM activity score",1.84728887,1.1014466,NA,NA,NA,NA,NA,NA,NA
"NFYB",FALSE,30,"CollecTRI-ULM activity score",1.84000854,1.58198729,NA,NA,NA,NA,NA,NA,NA
"PPARG",FALSE,213,"CollecTRI-ULM activity score",1.8361946,4.52912094,NA,NA,NA,NA,NA,NA,NA
"E2F1",FALSE,251,"CollecTRI-ULM activity score",1.83433332,4.86738611,NA,NA,NA,NA,NA,NA,NA
"NOTCH1",FALSE,39,"CollecTRI-ULM activity score",1.82748835,1.87576584,NA,NA,NA,NA,NA,NA,NA
"NFYA",FALSE,70,"CollecTRI-ULM activity score",1.81704718,2.61942361,NA,NA,NA,NA,NA,NA,NA
"THRA",FALSE,40,"CollecTRI-ULM activity score",1.79645939,1.90352096,NA,NA,NA,NA,NA,NA,NA
"NR1H4",FALSE,61,"CollecTRI-ULM activity score",1.79192705,2.43687983,NA,NA,NA,NA,NA,NA,NA
"ETV5",FALSE,9,"CollecTRI-ULM activity score",1.78958325,0.673156788,NA,NA,NA,NA,NA,NA,NA
"SOX6",FALSE,13,"CollecTRI-ULM activity score",1.78716751,0.915255263,NA,NA,NA,NA,NA,NA,NA
"NFYC",FALSE,18,"CollecTRI-ULM activity score",1.77604866,1.1465867,NA,NA,NA,NA,NA,NA,NA
"PGR",FALSE,77,"CollecTRI-ULM activity score",1.73801886,2.74353891,NA,NA,NA,NA,NA,NA,NA
"BRCA1",FALSE,47,"CollecTRI-ULM activity score",1.73516359,2.08424867,NA,NA,NA,NA,NA,NA,NA
"KDM2A",FALSE,7,"CollecTRI-ULM activity score",1.68692164,0.507633698,NA,NA,NA,NA,NA,NA,NA
"DMAP1",FALSE,5,"CollecTRI-ULM activity score",1.68630703,0.294075668,NA,NA,NA,NA,NA,NA,NA
"MYF5",FALSE,11,"CollecTRI-ULM activity score",1.67718042,0.808427386,NA,NA,NA,NA,NA,NA,NA
"HDAC3",FALSE,17,"CollecTRI-ULM activity score",1.65996245,1.1014466,NA,NA,NA,NA,NA,NA,NA
"KLF9",FALSE,13,"CollecTRI-ULM activity score",1.65974003,0.915255263,NA,NA,NA,NA,NA,NA,NA
"TFE3",FALSE,26,"CollecTRI-ULM activity score",1.65916143,1.4462279,NA,NA,NA,NA,NA,NA,NA
"PAX5",FALSE,38,"CollecTRI-ULM activity score",1.65878305,1.846813,NA,NA,NA,NA,NA,NA,NA
"IRF8",FALSE,50,"CollecTRI-ULM activity score",1.65358896,2.16373667,NA,NA,NA,NA,NA,NA,NA
"RARG",FALSE,13,"CollecTRI-ULM activity score",1.64190343,0.915255263,NA,NA,NA,NA,NA,NA,NA
"MBD1",FALSE,13,"CollecTRI-ULM activity score",1.63817409,0.915255263,NA,NA,NA,NA,NA,NA,NA
"SALL2",FALSE,5,"CollecTRI-ULM activity score",1.63669774,0.294075668,NA,NA,NA,NA,NA,NA,NA
"IRF6",FALSE,7,"CollecTRI-ULM activity score",1.62129084,0.507633698,NA,NA,NA,NA,NA,NA,NA
"HIPK2",FALSE,6,"CollecTRI-ULM activity score",1.59839949,0.407887966,NA,NA,NA,NA,NA,NA,NA
"SIX1",FALSE,7,"CollecTRI-ULM activity score",1.59596932,0.507633698,NA,NA,NA,NA,NA,NA,NA
"NCOR2",FALSE,41,"CollecTRI-ULM activity score",1.59461088,1.93003919,NA,NA,NA,NA,NA,NA,NA
"NOTO",FALSE,8,"CollecTRI-ULM activity score",1.57503327,0.595113485,NA,NA,NA,NA,NA,NA,NA
"SOX4",FALSE,12,"CollecTRI-ULM activity score",1.57030475,0.865637847,NA,NA,NA,NA,NA,NA,NA
"SP4",FALSE,27,"CollecTRI-ULM activity score",1.56892928,1.47864601,NA,NA,NA,NA,NA,NA,NA
"FOXO4",FALSE,22,"CollecTRI-ULM activity score",1.5579356,1.30901041,NA,NA,NA,NA,NA,NA,NA
"SRY",FALSE,17,"CollecTRI-ULM activity score",1.55718358,1.1014466,NA,NA,NA,NA,NA,NA,NA
"PAX6",FALSE,64,"CollecTRI-ULM activity score",1.54550441,2.5024472,NA,NA,NA,NA,NA,NA,NA
"NR2F6",FALSE,7,"CollecTRI-ULM activity score",1.53593057,0.507633698,NA,NA,NA,NA,NA,NA,NA
"PITX1",FALSE,15,"CollecTRI-ULM activity score",1.53262499,1.00731582,NA,NA,NA,NA,NA,NA,NA
"PAX3",FALSE,51,"CollecTRI-ULM activity score",1.51746628,2.19007794,NA,NA,NA,NA,NA,NA,NA
"NCOR1",FALSE,54,"CollecTRI-ULM activity score",1.51190258,2.26782428,NA,NA,NA,NA,NA,NA,NA
"KLF1",FALSE,13,"CollecTRI-ULM activity score",1.50270554,0.915255263,NA,NA,NA,NA,NA,NA,NA
"KDM5B",FALSE,17,"CollecTRI-ULM activity score",1.48874484,1.1014466,NA,NA,NA,NA,NA,NA,NA
"HOXC6",FALSE,5,"CollecTRI-ULM activity score",1.48586363,0.294075668,NA,NA,NA,NA,NA,NA,NA
"SMARCA4",FALSE,9,"CollecTRI-ULM activity score",1.46919849,0.673156788,NA,NA,NA,NA,NA,NA,NA
"HNF1B",FALSE,14,"CollecTRI-ULM activity score",1.46878659,0.961554623,NA,NA,NA,NA,NA,NA,NA
"HNF1A",FALSE,49,"CollecTRI-ULM activity score",1.4672978,2.13727318,NA,NA,NA,NA,NA,NA,NA
"MEIS1",FALSE,16,"CollecTRI-ULM activity score",1.4545834,1.05434751,NA,NA,NA,NA,NA,NA,NA
"DEAF1",FALSE,6,"CollecTRI-ULM activity score",1.44636527,0.407887966,NA,NA,NA,NA,NA,NA,NA
"NFIA",FALSE,30,"CollecTRI-ULM activity score",1.41169825,1.58198729,NA,NA,NA,NA,NA,NA,NA
"NKX2-1",FALSE,34,"CollecTRI-ULM activity score",1.41067368,1.72027635,NA,NA,NA,NA,NA,NA,NA
"KLF6",FALSE,39,"CollecTRI-ULM activity score",1.41016829,1.87576584,NA,NA,NA,NA,NA,NA,NA
"NRG1",FALSE,25,"CollecTRI-ULM activity score",1.38896958,1.41401797,NA,NA,NA,NA,NA,NA,NA
"E2F4",FALSE,153,"CollecTRI-ULM activity score",1.3867409,3.87669691,NA,NA,NA,NA,NA,NA,NA
"GTF2I",FALSE,18,"CollecTRI-ULM activity score",1.38545127,1.1465867,NA,NA,NA,NA,NA,NA,NA
"ZFX",FALSE,5,"CollecTRI-ULM activity score",1.37982318,0.294075668,NA,NA,NA,NA,NA,NA,NA
"SOX2",FALSE,30,"CollecTRI-ULM activity score",1.36961909,1.58198729,NA,NA,NA,NA,NA,NA,NA
"MAFG",FALSE,8,"CollecTRI-ULM activity score",1.35634604,0.595113485,NA,NA,NA,NA,NA,NA,NA
"SATB1",FALSE,34,"CollecTRI-ULM activity score",1.33606902,1.72027635,NA,NA,NA,NA,NA,NA,NA
"RORA",FALSE,38,"CollecTRI-ULM activity score",1.32757113,1.846813,NA,NA,NA,NA,NA,NA,NA
"MYOG",FALSE,29,"CollecTRI-ULM activity score",1.32340432,1.54698167,NA,NA,NA,NA,NA,NA,NA
"ESRRB",FALSE,8,"CollecTRI-ULM activity score",1.31972607,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ARID3B",FALSE,5,"CollecTRI-ULM activity score",1.31181155,0.294075668,NA,NA,NA,NA,NA,NA,NA
"PLAGL2",FALSE,5,"CollecTRI-ULM activity score",1.30704308,0.294075668,NA,NA,NA,NA,NA,NA,NA
"BATF",FALSE,15,"CollecTRI-ULM activity score",1.28933846,1.00731582,NA,NA,NA,NA,NA,NA,NA
"PRDM2",FALSE,8,"CollecTRI-ULM activity score",1.28816631,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ETV6",FALSE,14,"CollecTRI-ULM activity score",1.28474119,0.961554623,NA,NA,NA,NA,NA,NA,NA
"TEAD1",FALSE,13,"CollecTRI-ULM activity score",1.27794229,0.915255263,NA,NA,NA,NA,NA,NA,NA
"HOXD3",FALSE,7,"CollecTRI-ULM activity score",1.27520314,0.507633698,NA,NA,NA,NA,NA,NA,NA
"PROP1",FALSE,5,"CollecTRI-ULM activity score",1.25805983,0.294075668,NA,NA,NA,NA,NA,NA,NA
"KLF2",FALSE,44,"CollecTRI-ULM activity score",1.25360535,2.0057221,NA,NA,NA,NA,NA,NA,NA
"NKX2-5",FALSE,31,"CollecTRI-ULM activity score",1.23643266,1.61707505,NA,NA,NA,NA,NA,NA,NA
"NEUROD2",FALSE,6,"CollecTRI-ULM activity score",1.22605261,0.407887966,NA,NA,NA,NA,NA,NA,NA
"EZH2",FALSE,92,"CollecTRI-ULM activity score",1.21731183,2.99983561,NA,NA,NA,NA,NA,NA,NA
"PEG3",FALSE,6,"CollecTRI-ULM activity score",1.21694896,0.407887966,NA,NA,NA,NA,NA,NA,NA
"SNAI1",FALSE,60,"CollecTRI-ULM activity score",1.21084531,2.41403622,NA,NA,NA,NA,NA,NA,NA
"GATA2",FALSE,54,"CollecTRI-ULM activity score",1.20684259,2.26782428,NA,NA,NA,NA,NA,NA,NA
"BCL11B",FALSE,16,"CollecTRI-ULM activity score",1.19813522,1.05434751,NA,NA,NA,NA,NA,NA,NA
"TBPL1",FALSE,26,"CollecTRI-ULM activity score",1.19263695,1.4462279,NA,NA,NA,NA,NA,NA,NA
"MAFB",FALSE,24,"CollecTRI-ULM activity score",1.18814143,1.38046,NA,NA,NA,NA,NA,NA,NA
"TEAD4",FALSE,7,"CollecTRI-ULM activity score",1.18136094,0.507633698,NA,NA,NA,NA,NA,NA,NA
"MEF2C",FALSE,28,"CollecTRI-ULM activity score",1.12743253,1.51239733,NA,NA,NA,NA,NA,NA,NA
"FOXD3",FALSE,8,"CollecTRI-ULM activity score",1.11741051,0.595113485,NA,NA,NA,NA,NA,NA,NA
"RUNX3",FALSE,55,"CollecTRI-ULM activity score",1.1134319,2.29316309,NA,NA,NA,NA,NA,NA,NA
"LITAF",FALSE,18,"CollecTRI-ULM activity score",1.09860482,1.1465867,NA,NA,NA,NA,NA,NA,NA
"GABPA",FALSE,36,"CollecTRI-ULM activity score",1.08752094,1.78553283,NA,NA,NA,NA,NA,NA,NA
"SMARCC1",FALSE,6,"CollecTRI-ULM activity score",1.07283068,0.407887966,NA,NA,NA,NA,NA,NA,NA
"CREM",FALSE,58,"CollecTRI-ULM activity score",1.05907923,2.3669561,NA,NA,NA,NA,NA,NA,NA
"EBF1",FALSE,17,"CollecTRI-ULM activity score",1.05545318,1.1014466,NA,NA,NA,NA,NA,NA,NA
"EHF",FALSE,7,"CollecTRI-ULM activity score",1.0505724,0.507633698,NA,NA,NA,NA,NA,NA,NA
"IRX1",FALSE,6,"CollecTRI-ULM activity score",1.04757631,0.407887966,NA,NA,NA,NA,NA,NA,NA
"NFIB",FALSE,9,"CollecTRI-ULM activity score",1.04641556,0.673156788,NA,NA,NA,NA,NA,NA,NA
"SPDEF",FALSE,11,"CollecTRI-ULM activity score",1.0421718,0.808427386,NA,NA,NA,NA,NA,NA,NA
"HES1",FALSE,55,"CollecTRI-ULM activity score",1.03676364,2.29316309,NA,NA,NA,NA,NA,NA,NA
"E2F5",FALSE,9,"CollecTRI-ULM activity score",1.03572764,0.673156788,NA,NA,NA,NA,NA,NA,NA
"NR6A1",FALSE,5,"CollecTRI-ULM activity score",1.02728909,0.294075668,NA,NA,NA,NA,NA,NA,NA
"PLAG1",FALSE,5,"CollecTRI-ULM activity score",1.02253525,0.294075668,NA,NA,NA,NA,NA,NA,NA
"ZNF331",FALSE,17,"CollecTRI-ULM activity score",1.01213695,1.1014466,NA,NA,NA,NA,NA,NA,NA
"FOSL2",FALSE,22,"CollecTRI-ULM activity score",1.01131166,1.30901041,NA,NA,NA,NA,NA,NA,NA
"NR5A1",FALSE,50,"CollecTRI-ULM activity score",1.00855135,2.16373667,NA,NA,NA,NA,NA,NA,NA
"KAT2B",FALSE,12,"CollecTRI-ULM activity score",1.00641032,0.865637847,NA,NA,NA,NA,NA,NA,NA
"NR1I2",FALSE,156,"CollecTRI-ULM activity score",1.0063775,3.91357177,NA,NA,NA,NA,NA,NA,NA
"DAXX",FALSE,5,"CollecTRI-ULM activity score",0.999494349,0.294075668,NA,NA,NA,NA,NA,NA,NA
"NKX2-2",FALSE,10,"CollecTRI-ULM activity score",0.995433947,0.74342295,NA,NA,NA,NA,NA,NA,NA
"TFAM",FALSE,10,"CollecTRI-ULM activity score",0.99534862,0.74342295,NA,NA,NA,NA,NA,NA,NA
"ING4",FALSE,11,"CollecTRI-ULM activity score",0.980554485,0.808427386,NA,NA,NA,NA,NA,NA,NA
"SRSF2",FALSE,11,"CollecTRI-ULM activity score",0.979579067,0.808427386,NA,NA,NA,NA,NA,NA,NA
"NR5A2",FALSE,27,"CollecTRI-ULM activity score",0.972823573,1.47864601,NA,NA,NA,NA,NA,NA,NA
"PRDM1",FALSE,45,"CollecTRI-ULM activity score",0.969133904,2.03163353,NA,NA,NA,NA,NA,NA,NA
"FOXO3",FALSE,139,"CollecTRI-ULM activity score",0.965644873,3.69760314,NA,NA,NA,NA,NA,NA,NA
"HOXD1",FALSE,5,"CollecTRI-ULM activity score",0.957910583,0.294075668,NA,NA,NA,NA,NA,NA,NA
"E2F3",FALSE,59,"CollecTRI-ULM activity score",0.945798598,2.39072239,NA,NA,NA,NA,NA,NA,NA
"FOXA2",FALSE,42,"CollecTRI-ULM activity score",0.944421541,1.95529145,NA,NA,NA,NA,NA,NA,NA
"HOXA9",FALSE,25,"CollecTRI-ULM activity score",0.942395362,1.41401797,NA,NA,NA,NA,NA,NA,NA
"KLF4",FALSE,74,"CollecTRI-ULM activity score",0.941714828,2.69061895,NA,NA,NA,NA,NA,NA,NA
"SPIC",FALSE,5,"CollecTRI-ULM activity score",0.939120678,0.294075668,NA,NA,NA,NA,NA,NA,NA
"FOXN1",FALSE,29,"CollecTRI-ULM activity score",0.930501111,1.54698167,NA,NA,NA,NA,NA,NA,NA
"POU3F1",FALSE,8,"CollecTRI-ULM activity score",0.926938939,0.595113485,NA,NA,NA,NA,NA,NA,NA
"LHX8",FALSE,5,"CollecTRI-ULM activity score",0.918708033,0.294075668,NA,NA,NA,NA,NA,NA,NA
"ERF",FALSE,12,"CollecTRI-ULM activity score",0.912660515,0.865637847,NA,NA,NA,NA,NA,NA,NA
"KLF13",FALSE,9,"CollecTRI-ULM activity score",0.912330169,0.673156788,NA,NA,NA,NA,NA,NA,NA
"HDGF",FALSE,6,"CollecTRI-ULM activity score",0.903863623,0.407887966,NA,NA,NA,NA,NA,NA,NA
"KLF10",FALSE,19,"CollecTRI-ULM activity score",0.897916013,1.18983492,NA,NA,NA,NA,NA,NA,NA
"ZNF362",FALSE,13,"CollecTRI-ULM activity score",0.896325739,0.915255263,NA,NA,NA,NA,NA,NA,NA
"SOX11",FALSE,6,"CollecTRI-ULM activity score",0.885679781,0.407887966,NA,NA,NA,NA,NA,NA,NA
"SOX9",FALSE,44,"CollecTRI-ULM activity score",0.884460917,2.0057221,NA,NA,NA,NA,NA,NA,NA
"RCOR2",FALSE,13,"CollecTRI-ULM activity score",0.879368941,0.915255263,NA,NA,NA,NA,NA,NA,NA
"SPIB",FALSE,12,"CollecTRI-ULM activity score",0.870951719,0.865637847,NA,NA,NA,NA,NA,NA,NA
"PML",FALSE,16,"CollecTRI-ULM activity score",0.860004735,1.05434751,NA,NA,NA,NA,NA,NA,NA
"PITX2",FALSE,62,"CollecTRI-ULM activity score",0.844021774,2.45923793,NA,NA,NA,NA,NA,NA,NA
"TAL1",FALSE,60,"CollecTRI-ULM activity score",0.843774851,2.41403622,NA,NA,NA,NA,NA,NA,NA
"ZNF699",FALSE,31,"CollecTRI-ULM activity score",0.807818902,1.61707505,NA,NA,NA,NA,NA,NA,NA
"TCF7",FALSE,15,"CollecTRI-ULM activity score",0.806771601,1.00731582,NA,NA,NA,NA,NA,NA,NA
"BRD4",FALSE,10,"CollecTRI-ULM activity score",0.804576714,0.74342295,NA,NA,NA,NA,NA,NA,NA
"HESX1",FALSE,13,"CollecTRI-ULM activity score",0.804113537,0.915255263,NA,NA,NA,NA,NA,NA,NA
"MLXIPL",FALSE,11,"CollecTRI-ULM activity score",0.792602323,0.808427386,NA,NA,NA,NA,NA,NA,NA
"MAX",FALSE,35,"CollecTRI-ULM activity score",0.779433044,1.75335301,NA,NA,NA,NA,NA,NA,NA
"RXRB",FALSE,7,"CollecTRI-ULM activity score",0.766730093,0.507633698,NA,NA,NA,NA,NA,NA,NA
"NR1H2",FALSE,30,"CollecTRI-ULM activity score",0.760147107,1.58198729,NA,NA,NA,NA,NA,NA,NA
"ELK4",FALSE,6,"CollecTRI-ULM activity score",0.759631658,0.407887966,NA,NA,NA,NA,NA,NA,NA
"PDX1",FALSE,44,"CollecTRI-ULM activity score",0.721878412,2.0057221,NA,NA,NA,NA,NA,NA,NA
"E2F2",FALSE,45,"CollecTRI-ULM activity score",0.710925699,2.03163353,NA,NA,NA,NA,NA,NA,NA
"ZNF436",FALSE,5,"CollecTRI-ULM activity score",0.698130407,0.294075668,NA,NA,NA,NA,NA,NA,NA
"E2F6",FALSE,37,"CollecTRI-ULM activity score",0.691303069,1.81671355,NA,NA,NA,NA,NA,NA,NA
"YY1",FALSE,163,"CollecTRI-ULM activity score",0.679662034,3.99766377,NA,NA,NA,NA,NA,NA,NA
"NKRF",FALSE,5,"CollecTRI-ULM activity score",0.678653572,0.294075668,NA,NA,NA,NA,NA,NA,NA
"IKZF1",FALSE,29,"CollecTRI-ULM activity score",0.676410097,1.54698167,NA,NA,NA,NA,NA,NA,NA
"HHEX",FALSE,17,"CollecTRI-ULM activity score",0.67205714,1.1014466,NA,NA,NA,NA,NA,NA,NA
"NR4A2",FALSE,31,"CollecTRI-ULM activity score",0.663361566,1.61707505,NA,NA,NA,NA,NA,NA,NA
"ZBTB7B",FALSE,9,"CollecTRI-ULM activity score",0.662541155,0.673156788,NA,NA,NA,NA,NA,NA,NA
"ZGLP1",FALSE,10,"CollecTRI-ULM activity score",0.660717281,0.74342295,NA,NA,NA,NA,NA,NA,NA
"KLF15",FALSE,10,"CollecTRI-ULM activity score",0.648161954,0.74342295,NA,NA,NA,NA,NA,NA,NA
"TWIST2",FALSE,24,"CollecTRI-ULM activity score",0.642661761,1.38046,NA,NA,NA,NA,NA,NA,NA
"NFIL3",FALSE,22,"CollecTRI-ULM activity score",0.635582754,1.30901041,NA,NA,NA,NA,NA,NA,NA
"DLX3",FALSE,8,"CollecTRI-ULM activity score",0.635417848,0.595113485,NA,NA,NA,NA,NA,NA,NA
"HOXC8",FALSE,9,"CollecTRI-ULM activity score",0.627649451,0.673156788,NA,NA,NA,NA,NA,NA,NA
"RFX1",FALSE,17,"CollecTRI-ULM activity score",0.613973885,1.1014466,NA,NA,NA,NA,NA,NA,NA
"SFPQ",FALSE,17,"CollecTRI-ULM activity score",0.611663726,1.1014466,NA,NA,NA,NA,NA,NA,NA
"HLF",FALSE,12,"CollecTRI-ULM activity score",0.606355089,0.865637847,NA,NA,NA,NA,NA,NA,NA
"FOXJ1",FALSE,6,"CollecTRI-ULM activity score",0.6055052,0.407887966,NA,NA,NA,NA,NA,NA,NA
"NKX6-1",FALSE,5,"CollecTRI-ULM activity score",0.605096042,0.294075668,NA,NA,NA,NA,NA,NA,NA
"ARID4B",FALSE,6,"CollecTRI-ULM activity score",0.588471114,0.407887966,NA,NA,NA,NA,NA,NA,NA
"CXXC1",FALSE,14,"CollecTRI-ULM activity score",0.581922226,0.961554623,NA,NA,NA,NA,NA,NA,NA
"ZEB2",FALSE,11,"CollecTRI-ULM activity score",0.57759987,0.808427386,NA,NA,NA,NA,NA,NA,NA
"MBD2",FALSE,65,"CollecTRI-ULM activity score",0.559110482,2.52327794,NA,NA,NA,NA,NA,NA,NA
"OTX2",FALSE,12,"CollecTRI-ULM activity score",0.548853617,0.865637847,NA,NA,NA,NA,NA,NA,NA
"KLF11",FALSE,11,"CollecTRI-ULM activity score",0.545775449,0.808427386,NA,NA,NA,NA,NA,NA,NA
"ELF1",FALSE,56,"CollecTRI-ULM activity score",0.539033372,2.3181512,NA,NA,NA,NA,NA,NA,NA
"MED1",FALSE,10,"CollecTRI-ULM activity score",0.538648632,0.74342295,NA,NA,NA,NA,NA,NA,NA
"ETV7",FALSE,8,"CollecTRI-ULM activity score",0.528079123,0.595113485,NA,NA,NA,NA,NA,NA,NA
"E4F1",FALSE,9,"CollecTRI-ULM activity score",0.514364522,0.673156788,NA,NA,NA,NA,NA,NA,NA
"KAT6B",FALSE,8,"CollecTRI-ULM activity score",0.511821982,0.595113485,NA,NA,NA,NA,NA,NA,NA
"NR4A1",FALSE,66,"CollecTRI-ULM activity score",0.503701033,2.54358193,NA,NA,NA,NA,NA,NA,NA
"SALL4",FALSE,10,"CollecTRI-ULM activity score",0.498609368,0.74342295,NA,NA,NA,NA,NA,NA,NA
"AIRE",FALSE,15,"CollecTRI-ULM activity score",0.498295143,1.00731582,NA,NA,NA,NA,NA,NA,NA
"ZHX2",FALSE,8,"CollecTRI-ULM activity score",0.497048458,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ZNF395",FALSE,6,"CollecTRI-ULM activity score",0.489067744,0.407887966,NA,NA,NA,NA,NA,NA,NA
"SATB2",FALSE,15,"CollecTRI-ULM activity score",0.480930023,1.00731582,NA,NA,NA,NA,NA,NA,NA
"TLX1",FALSE,5,"CollecTRI-ULM activity score",0.480001537,0.294075668,NA,NA,NA,NA,NA,NA,NA
"NEUROG3",FALSE,6,"CollecTRI-ULM activity score",0.470824323,0.407887966,NA,NA,NA,NA,NA,NA,NA
"TRPS1",FALSE,10,"CollecTRI-ULM activity score",0.46755852,0.74342295,NA,NA,NA,NA,NA,NA,NA
"LHX2",FALSE,14,"CollecTRI-ULM activity score",0.459447912,0.961554623,NA,NA,NA,NA,NA,NA,NA
"TFAP2B",FALSE,11,"CollecTRI-ULM activity score",0.452710427,0.808427386,NA,NA,NA,NA,NA,NA,NA
"SP2",FALSE,17,"CollecTRI-ULM activity score",0.446341418,1.1014466,NA,NA,NA,NA,NA,NA,NA
"HOXB7",FALSE,8,"CollecTRI-ULM activity score",0.444915711,0.595113485,NA,NA,NA,NA,NA,NA,NA
"PAX7",FALSE,10,"CollecTRI-ULM activity score",0.437547726,0.74342295,NA,NA,NA,NA,NA,NA,NA
"ZNF143",FALSE,21,"CollecTRI-ULM activity score",0.437075267,1.27096565,NA,NA,NA,NA,NA,NA,NA
"SMARCA1",FALSE,35,"CollecTRI-ULM activity score",0.43581645,1.75335301,NA,NA,NA,NA,NA,NA,NA
"MTA1",FALSE,37,"CollecTRI-ULM activity score",0.434977625,1.81671355,NA,NA,NA,NA,NA,NA,NA
"ZKSCAN7",FALSE,8,"CollecTRI-ULM activity score",0.434410192,0.595113485,NA,NA,NA,NA,NA,NA,NA
"TBX15",FALSE,16,"CollecTRI-ULM activity score",0.429067067,1.05434751,NA,NA,NA,NA,NA,NA,NA
"CREB5",FALSE,9,"CollecTRI-ULM activity score",0.423960898,0.673156788,NA,NA,NA,NA,NA,NA,NA
"MECOM",FALSE,10,"CollecTRI-ULM activity score",0.416373796,0.74342295,NA,NA,NA,NA,NA,NA,NA
"SOX10",FALSE,12,"CollecTRI-ULM activity score",0.412669083,0.865637847,NA,NA,NA,NA,NA,NA,NA
"BACH1",FALSE,12,"CollecTRI-ULM activity score",0.408578846,0.865637847,NA,NA,NA,NA,NA,NA,NA
"ATF7",FALSE,5,"CollecTRI-ULM activity score",0.403206104,0.294075668,NA,NA,NA,NA,NA,NA,NA
"PKNOX1",FALSE,10,"CollecTRI-ULM activity score",0.385872321,0.74342295,NA,NA,NA,NA,NA,NA,NA
"MSX1",FALSE,8,"CollecTRI-ULM activity score",0.379091537,0.595113485,NA,NA,NA,NA,NA,NA,NA
"HINFP",FALSE,9,"CollecTRI-ULM activity score",0.373719148,0.673156788,NA,NA,NA,NA,NA,NA,NA
"NFATC4",FALSE,18,"CollecTRI-ULM activity score",0.368902437,1.1465867,NA,NA,NA,NA,NA,NA,NA
"ONECUT1",FALSE,7,"CollecTRI-ULM activity score",0.367832797,0.507633698,NA,NA,NA,NA,NA,NA,NA
"HOXA7",FALSE,9,"CollecTRI-ULM activity score",0.365956432,0.673156788,NA,NA,NA,NA,NA,NA,NA
"NRL",FALSE,8,"CollecTRI-ULM activity score",0.363884002,0.595113485,NA,NA,NA,NA,NA,NA,NA
"NSD2",FALSE,6,"CollecTRI-ULM activity score",0.356456334,0.407887966,NA,NA,NA,NA,NA,NA,NA
"BCL11A",FALSE,5,"CollecTRI-ULM activity score",0.354442397,0.294075668,NA,NA,NA,NA,NA,NA,NA
"GLI3",FALSE,22,"CollecTRI-ULM activity score",0.349452853,1.30901041,NA,NA,NA,NA,NA,NA,NA
"ESRRG",FALSE,15,"CollecTRI-ULM activity score",0.33737874,1.00731582,NA,NA,NA,NA,NA,NA,NA
"ZXDC",FALSE,6,"CollecTRI-ULM activity score",0.32871322,0.407887966,NA,NA,NA,NA,NA,NA,NA
"GLI2",FALSE,81,"CollecTRI-ULM activity score",0.32410385,2.81332409,NA,NA,NA,NA,NA,NA,NA
"HBP1",FALSE,36,"CollecTRI-ULM activity score",0.311503021,1.78553283,NA,NA,NA,NA,NA,NA,NA
"ETV1",FALSE,13,"CollecTRI-ULM activity score",0.301593787,0.915255263,NA,NA,NA,NA,NA,NA,NA
"SIRT1",FALSE,40,"CollecTRI-ULM activity score",0.301079345,1.90352096,NA,NA,NA,NA,NA,NA,NA
"NFE2",FALSE,7,"CollecTRI-ULM activity score",0.29904485,0.507633698,NA,NA,NA,NA,NA,NA,NA
"DNMT3A",FALSE,38,"CollecTRI-ULM activity score",0.289367514,1.846813,NA,NA,NA,NA,NA,NA,NA
"ZEB1",FALSE,36,"CollecTRI-ULM activity score",0.278619627,1.78553283,NA,NA,NA,NA,NA,NA,NA
"THRB",FALSE,28,"CollecTRI-ULM activity score",0.246920582,1.51239733,NA,NA,NA,NA,NA,NA,NA
"MYBL2",FALSE,38,"CollecTRI-ULM activity score",0.232211701,1.846813,NA,NA,NA,NA,NA,NA,NA
"ELF2",FALSE,6,"CollecTRI-ULM activity score",0.222829492,0.407887966,NA,NA,NA,NA,NA,NA,NA
"ZNF148",FALSE,21,"CollecTRI-ULM activity score",0.214434932,1.27096565,NA,NA,NA,NA,NA,NA,NA
"AIP",FALSE,5,"CollecTRI-ULM activity score",0.21313321,0.294075668,NA,NA,NA,NA,NA,NA,NA
"KDM5C",FALSE,9,"CollecTRI-ULM activity score",0.205281952,0.673156788,NA,NA,NA,NA,NA,NA,NA
"HSF4",FALSE,7,"CollecTRI-ULM activity score",0.198298885,0.507633698,NA,NA,NA,NA,NA,NA,NA
"NR2F1",FALSE,21,"CollecTRI-ULM activity score",0.18881091,1.27096565,NA,NA,NA,NA,NA,NA,NA
"TCF12",FALSE,29,"CollecTRI-ULM activity score",0.174778711,1.54698167,NA,NA,NA,NA,NA,NA,NA
"ISL1",FALSE,12,"CollecTRI-ULM activity score",0.166434077,0.865637847,NA,NA,NA,NA,NA,NA,NA
"PAX2",FALSE,9,"CollecTRI-ULM activity score",0.154193118,0.673156788,NA,NA,NA,NA,NA,NA,NA
"ZNF263",FALSE,6,"CollecTRI-ULM activity score",0.146929806,0.407887966,NA,NA,NA,NA,NA,NA,NA
"CUX1",FALSE,74,"CollecTRI-ULM activity score",0.137148931,2.69061895,NA,NA,NA,NA,NA,NA,NA
"NR4A3",FALSE,25,"CollecTRI-ULM activity score",0.124731599,1.41401797,NA,NA,NA,NA,NA,NA,NA
