"population","tf","target","mor","sign_decision","stat","contrib","n_regulons","n_other_regulons","selective","promiscuity_band","avg_expr","padj_gene"
"Treg","HIF1A","FOXM1",1,"PMID",0.335032088,0.335032088,22,21,FALSE,"<=25",1.37423099,0.824223878
"Treg","HIF1A","PLAT",1,"default activation",0.291490779,0.291490779,21,20,FALSE,"<=25",-1.40412062,0.846595583
"Treg","HIF1A","HDAC2",1,"default activation",0.244991485,0.244991485,7,6,FALSE,"<=10",6.09371288,0.871861189
"Treg","HIF1A","HES1",1,"PMID",0.222687356,0.222687356,54,53,FALSE,">25",-1.85670894,0.883872229
"Treg","HIF1A","CHKA",1,"default activation",0.197129048,0.197129048,7,6,FALSE,"<=10",-0.75313947,0.897637442
"Treg","HIF1A","MCL1",1,"default activation",0.168763549,0.168763549,37,36,FALSE,">25",7.8549984,0.912908185
"Treg","HIF1A","EGLN3",1,"PMID",0.144436849,0.144436849,5,4,FALSE,"<=5",-1.02051565,0.926221865
"Treg","HIF1A","VASP",1,"default activation",0.07849021,0.07849021,4,3,FALSE,"<=5",6.57668205,0.959587567
"Treg","HIF1A","IGF1",1,"default activation",0.0650668314,0.0650668314,72,71,FALSE,">25",-3.77605162,0.966411662
"Treg","HIF1A","PC",1,"default activation",0.0619807093,0.0619807093,18,17,FALSE,"<=25",0.00254574168,0.968425582
"Treg","HIF1A","ERCC2",1,"default activation",-0.0234901145,-0.0234901145,4,3,FALSE,"<=5",3.27295284,0.987514691
"Treg","HIF1A","TGFB1",1,"PMID",-0.0617829236,-0.0617829236,77,76,FALSE,">25",6.27984427,0.9684902
"Treg","HIF1A","IKBKB",1,"default activation",-0.0725607295,-0.0725607295,11,10,FALSE,"<=25",5.3218147,0.962942783
"Treg","HIF1A","HSF1",1,"default activation",-0.0783117721,-0.0783117721,13,12,FALSE,"<=25",5.18774014,0.959902407
"Treg","HIF1A","APEX1",-1,"PMID",0.126260868,-0.126260868,15,14,FALSE,"<=25",6.29955241,0.935626999
"Treg","HIF1A","KDM2B",1,"PMID",-0.129272919,-0.129272919,7,6,FALSE,"<=10",4.68301143,0.934464931
"Treg","HIF1A","TPO",1,"default activation",-0.143725856,-0.143725856,22,21,FALSE,"<=25",-0.810710937,0.926482608
"Treg","HIF1A","RPS6KB1",1,"default activation",-0.167643326,-0.167643326,7,6,FALSE,"<=10",4.73961021,0.913560562
"Treg","HIF1A","HIF1AN",1,"default activation",-0.205654512,-0.205654512,2,1,FALSE,"<=2",4.75686721,0.892390575
"Treg","HIF1A","SLC29A2",1,"default activation",-0.206226249,-0.206226249,1,0,TRUE,"<=1",-0.450222922,0.892186256
"Treg","HIF1A","XIAP",1,"default activation",-0.217840788,-0.217840788,16,15,FALSE,"<=25",4.96041207,0.886071775
"Treg","HIF1A","MAPK9",1,"default activation",-0.256584239,-0.256584239,9,8,FALSE,"<=10",2.53077707,0.866358648
"Treg","HIF1A","IL4",1,"PMID",-0.268569102,-0.268569102,81,80,FALSE,">25",-2.66121077,0.858923304
"Treg","HIF1A","MDK",1,"PMID",-0.272790535,-0.272790535,4,3,FALSE,"<=5",-0.197586699,0.856304701
"Treg","HIF1A","SP1",-1,"PMID",0.274958122,-0.274958122,60,59,FALSE,">25",4.41440321,0.854949203
"Treg","HIF1A","MSH6",-1,"PMID",0.280880566,-0.280880566,7,6,FALSE,"<=10",4.17842501,0.852556518
"Treg","HIF1A","BIRC5",1,"PMID",-0.321950755,-0.321950755,57,56,FALSE,">25",3.37073402,0.83184163
"Treg","HIF1A","CX3CR1",1,"default activation",-0.347482797,-0.347482797,4,3,FALSE,"<=5",0.162049844,0.816819835
"Treg","HIF1A","MSH2",-1,"PMID",0.38261495,-0.38261495,7,6,FALSE,"<=10",4.5265796,0.795285524
"Treg","HIF1A","ESR2",1,"PMID",-0.544415943,-0.544415943,20,19,FALSE,"<=25",0.238421576,0.705327189
"Treg","HIF1A","BIRC3",1,"PMID",-0.631968607,-0.631968607,26,25,FALSE,">25",7.62855128,0.660023827
"Treg","HIF1A","MXI1",1,"default activation",-0.640997138,-0.640997138,5,4,FALSE,"<=5",2.88423969,0.653698391
"Treg","HIF1A","SENP1",-1,"PMID",0.663038988,-0.663038988,4,3,FALSE,"<=5",3.79484677,0.641661936
"Treg","HIF1A","RECK",-1,"PMID",0.669649037,-0.669649037,11,10,FALSE,"<=25",3.04453903,0.638000465
"Treg","HIF1A","KDM4B",1,"PMID",-0.696288907,-0.696288907,5,4,FALSE,"<=5",3.21347387,0.623902852
"Treg","HIF1A","PPP1R10",1,"default activation",-0.707397514,-0.707397514,1,0,TRUE,"<=1",5.63345909,0.617806336
"Treg","HIF1A","S100A8",1,"PMID",-0.750300348,-0.750300348,8,7,FALSE,"<=10",-0.940207176,0.602972411
"Treg","HIF1A","POU5F1",1,"PMID",-0.76825771,-0.76825771,59,58,FALSE,">25",-0.503940965,0.586650737
"Treg","HIF1A","TGFB3",1,"default activation",-0.806248533,-0.806248533,17,16,FALSE,"<=25",-1.67952557,0.566469775
"Treg","HIF1A","ARNT",1,"default activation",-0.87134988,-0.87134988,13,12,FALSE,"<=25",4.66908723,0.531895411
"Treg","HIF1A","PIK3CA",1,"default activation",-0.905546806,-0.905546806,6,5,FALSE,"<=10",3.83517336,0.515209284
"Treg","HIF1A","SLC22A5",1,"default activation",-0.980880992,-0.980880992,8,7,FALSE,"<=10",0.693115145,0.478271869
"Treg","HIF1A","CYBB",1,"default activation",-1.00120939,-1.00120939,23,22,FALSE,"<=25",-2.25514934,0.474818031
"Treg","HIF1A","GLB1",1,"default activation",-1.01843828,-1.01843828,17,16,FALSE,"<=25",5.8516575,0.461062176
"Treg","HIF1A","CDC25A",-1,"PMID",1.03261282,-1.03261282,20,19,FALSE,"<=25",-0.466041538,0.458010039
"Treg","HIF1A","NPM1",1,"default activation",-1.05230709,-1.05230709,15,14,FALSE,"<=25",9.77346662,0.44550253
"Treg","HIF1A","KDM2A",1,"PMID",-1.05764994,-1.05764994,4,3,FALSE,"<=5",5.93856619,0.442832312
"Treg","HIF1A","LRP1",1,"default activation",-1.10837989,-1.10837989,9,8,FALSE,"<=10",-1.96985114,0.42097452
"Treg","HIF1A","XPC",1,"PMID",-1.15384902,-1.15384902,11,10,FALSE,"<=25",5.58955052,0.40122041
