population,tf,network_symbol,matrix_symbol,mor,resolution,focus_tf
Treg,NR1D2,BMAL1,ARNTL,-1,accepted,FALSE
Treg,CUX1,H3C13,HIST2H3D,-1,accepted,FALSE
Treg,DLX1,DLX5,SHFM1,-1,accepted,FALSE
Treg,DLX2,DLX5,SHFM1,1,accepted,FALSE
Treg,E2F1,H2AC4,HIST1H2AB,1,accepted,FALSE
Treg,ELF4,DLX5,SHFM1,-1,accepted,FALSE
Treg,EPAS1,BMAL1,ARNTL,1,accepted,TRUE
Treg,HBP1,H1-0,H1F0,1,accepted,FALSE
Treg,IRF1,PLAAT3,PLA2G16,1,accepted,FALSE
Treg,LHX2,PLAAT4,RARRES3,1,accepted,FALSE
Treg,MEF2A,MYL11,MYLPF,1,accepted,FALSE
Treg,MEF2C,DLX5,SHFM1,1,accepted,FALSE
Treg,MITF,SLC45A2,AIM1,1,accepted,FALSE
Treg,MSX2,DLX5,SHFM1,-1,accepted,FALSE
Treg,PAX2,PLAAT4,RARRES3,1,accepted,FALSE
Treg,PPARD,GPAT4,AGPAT6,1,accepted,FALSE
Treg,PPARG,KMT5A,SETD8,1,accepted,FALSE
Treg,PPARG,NOCT,CCRN4L,1,accepted,FALSE
Treg,PPARG,GPAT4,AGPAT6,1,accepted,FALSE
Treg,SP1,H3-3A,H3F3A,1,accepted,FALSE
Treg,TP73,PLPP1,PPAP2A,1,accepted,FALSE
Treg,WT1,CNOT9,RQCD1,1,accepted,FALSE
Treg,YY1,ATP5F1A,ATP5A1,1,accepted,FALSE
Treg,CREB1,PTPA,PPP2R4,1,accepted,TRUE
Treg,SP1,PTPA,PPP2R4,1,accepted,FALSE
Treg,SP3,PTPA,PPP2R4,1,accepted,FALSE
Treg,TFAP2A,PTPA,PPP2R4,1,accepted,FALSE
Treg,PPARA,PLPP1,PPAP2A,1,accepted,FALSE
Treg,CREB1,STING1,TMEM173,1,accepted,TRUE
Treg,CUX1,H4C9,HIST1H4I,-1,accepted,FALSE
Treg,MYC,STING1,TMEM173,1,accepted,FALSE
Treg,ASCL1,DLX5,SHFM1,1,accepted,FALSE
Treg,EGR4,DLX5,SHFM1,1,accepted,FALSE
Treg,AR,SUSD6,KIAA0247,1,accepted,FALSE
Treg,TP53,ADGRB2,BAI2,1,accepted,FALSE
Treg,CTCF,NCBP3,C17orf85,1,accepted,FALSE
Treg,CTCF,PTPA,PPP2R4,1,accepted,FALSE
Treg,YY1,HACD2,PTPLB,1,accepted,FALSE
Treg,YY1,NARS1,NARS,1,accepted,FALSE
Treg,E2F4,CFAP20,C16orf80,1,accepted,FALSE
Treg,NFKB,HACD3,PTPLAD1,1,accepted,FALSE
Treg,NFKB,TSPOAP1,BZRAP1,1,accepted,FALSE
Treg,AP1,TSPOAP1,BZRAP1,1,accepted,FALSE
Treg,AP1,KIFBP,KIAA1279,1,accepted,FALSE
Treg,AP1,OGA,MGEA5,1,accepted,FALSE
Treg,NFKB,KIFBP,KIAA1279,1,accepted,FALSE
Treg,NFKB,CERT1,COL4A3BP,1,accepted,FALSE
Treg,NFKB,SELENOS,VIMP,1,accepted,FALSE
Treg,NFKB,KMT5C,SUV420H2,1,accepted,FALSE
Treg,AP1,ELP1,IKBKAP,1,accepted,FALSE
Treg,NFKB,OGA,MGEA5,1,accepted,FALSE
Treg,NFKB,PRKN,PARK2,1,accepted,FALSE
Treg,AP1,BABAM2,BRE,1,accepted,FALSE
Tcon,USF1,JCHAIN,IGJ,1,accepted,FALSE
Tcon,BHLHE40,CENPX,STRA13,1,accepted,FALSE
Tcon,DBP,BMAL1,ARNTL,1,accepted,FALSE
Tcon,TFAP2A,H3C13,HIST2H3D,1,accepted,FALSE
Tcon,YY1,H3C13,HIST2H3D,1,accepted,FALSE
Tcon,IRF2,H4C9,HIST1H4I,1,accepted,FALSE
Tcon,SMARCA1,H2AZ1,H2AFZ,1,accepted,FALSE
Tcon,KAT7,OGA,MGEA5,1,accepted,FALSE
Tcon,RELA,OGA,MGEA5,1,accepted,FALSE
Tcon,BMAL1,BMAL1,ARNTL,1,accepted,FALSE
Tcon,NPAS2,BMAL1,ARNTL,1,accepted,FALSE
Tcon,BMAL2,TSPOAP1,BZRAP1,1,accepted,FALSE
Tcon,SP1,PLAAT3,PLA2G16,1,accepted,FALSE
Tcon,SP3,PLAAT3,PLA2G16,1,accepted,FALSE
Tcon,MYC,RIOX2,MINA,1,accepted,FALSE
Tcon,OSR1,PRKN,PARK2,1,accepted,FALSE
Tcon,CREB1,MRM3,RNMTL1,1,accepted,TRUE
Tcon,CREB1,NOCT,CCRN4L,1,accepted,TRUE
Tcon,BHLHE40,BMAL1,ARNTL,1,accepted,FALSE
Tcon,BHLHE41,BMAL1,ARNTL,1,accepted,FALSE
Tcon,RUNX2,TAFAZZIN,TAZ,1,accepted,FALSE
Tcon,SSRP1,TAFAZZIN,TAZ,1,accepted,FALSE
Tcon,KDM5D,COP1,RFWD2,1,accepted,FALSE
Tcon,PGR,H1-2,HIST1H1C,1,accepted,FALSE
Tcon,BHLHE41,CENPX,STRA13,1,accepted,FALSE
Tcon,SP1,CENPX,STRA13,1,accepted,FALSE
Tcon,ZBED1,H1-2,HIST1H1C,1,accepted,FALSE
Tcon,CLOCK,BMAL1,ARNTL,-1,accepted,FALSE
Tcon,TBP,H1-2,HIST1H1C,1,accepted,FALSE
Tcon,CLOCK,NOCT,CCRN4L,1,accepted,FALSE
Tcon,ALX1,OGA,MGEA5,1,accepted,FALSE
Tcon,AR,RACK1,GNB2L1,1,accepted,FALSE
Tcon,POU2F1,H2BC11,HIST1H2BJ,1,accepted,FALSE
Tcon,TP53,PHB1,PHB,1,accepted,FALSE
Tcon,GFI1,GUCY1B1,GUCY1B3,1,accepted,FALSE
Tcon,RELA,TSPOAP1,BZRAP1,1,accepted,FALSE
Tcon,SP1,ADGRG1,GPR56,1,accepted,FALSE
