tf,regulon_size,ulm_score,ulm_rank,ulm_padj,fgsea_nes,fgsea_rank,fgsea_set_size,fgsea_padj,population,focus_tf,log_size,ulm_score_size_expected,ulm_score_size_residual,fgsea_nes_size_expected,fgsea_nes_size_residual,ulm_score_size_residual_rank,fgsea_nes_size_residual_rank,n_tfs_ulm_ranked,n_tfs_fgsea_ranked
DMTF1,11,3.28172672,92,0.00642795432,1.78122341,107,11,0.0463422235,Treg,FALSE,1.04139269,0.808427386,2.47329933,0.879981683,0.901241727,47,45,601,592
ABL1,10,3.2810918,93,0.00642795432,1.73714574,118,10,0.0635006562,Treg,FALSE,1,0.74342295,2.53766885,0.829402039,0.907743701,41,43,601,592
SRF,61,3.2790149,94,0.00642795432,1.75703341,114,62,0.0177096792,Treg,FALSE,1.78532984,2.43687983,0.842135062,1.60392864,0.153104767,172,311,601,592
EGR3,24,3.27721425,95,0.00642795432,1.87663395,79,24,0.0166157341,Treg,FALSE,1.38021124,1.38046,1.89675425,1.26407253,0.612561416,81,119,601,592
IRF3,59,3.27509057,96,0.00642795432,1.93119501,63,59,0.00195167722,Treg,FALSE,1.77085201,2.39072239,0.884368177,1.58974023,0.341454782,166,222,601,592
MAF,41,3.23995824,97,0.00720156296,1.66736601,156,43,0.0503480449,Treg,FALSE,1.61278386,1.93003919,1.30991906,1.49669654,0.17066947,130,306,601,592
PAX8,21,3.21214328,98,0.00784769923,1.45089276,268,21,0.223365121,Treg,FALSE,1.32221929,1.27096565,1.94117763,1.21031357,0.24057919,77,270,601,592
GATA6,33,3.2096662,99,0.00784769923,1.67194343,155,33,0.0613900788,Treg,FALSE,1.51851394,1.68642897,1.52323723,1.3960619,0.275881534,111,250,601,592
HIVEP2,8,3.15867186,100,0.00926746627,1.27383515,339,8,0.443268547,Treg,FALSE,0.903089987,0.595113485,2.56355838,0.712199922,0.561635228,40,140,601,592
EBF3,5,3.15191654,101,0.00939321266,1.62196191,172,6,0.107760479,Treg,FALSE,0.698970004,0.294075668,2.85784087,0.562778809,1.0591831,24,14,601,592
ZNF384,11,3.13296043,102,0.00983200842,1.69103847,150,11,0.0851192808,Treg,FALSE,1.04139269,0.808427386,2.32453304,0.879981683,0.811056787,50,71,601,592
NR2F2,32,3.12423661,103,0.00995445229,1.43284746,276,32,0.215123656,Treg,FALSE,1.50514998,1.65196558,1.47227103,1.3839096,0.0489378582,114,361,601,592
POU2F2,25,3.1171027,104,0.0100906123,1.8065212,100,27,0.0272542779,Treg,FALSE,1.39794001,1.41401797,1.70308473,1.31408327,0.492437931,94,156,601,592
OVOL1,7,3.10567566,105,0.0103931534,1.22836016,354,7,0.490006609,Treg,FALSE,0.84509804,0.507633698,2.59804197,0.642701868,0.585658292,36,131,601,592
TP53,697,3.08615177,106,0.0109999853,NA,NA,NA,NA,Treg,FALSE,2.84323278,6.97578157,-3.8896298,NA,NA,595,NA,601,592
RBPJ,87,3.08284354,107,0.0110236068,1.69903333,140,88,0.0175300751,Treg,FALSE,1.93951925,2.91609961,0.166743929,1.71302001,-0.0139866818,264,385,601,592
RELB,45,3.07768544,108,0.0110439165,1.60669357,179,45,0.0745029703,Treg,FALSE,1.65321251,2.03163353,1.04605191,1.51193468,0.094758892,152,336,601,592
MSC,20,3.07701964,109,0.0110439165,2.00259183,46,20,0.00580505239,Treg,FALSE,1.30103,1.23126769,1.84575195,1.19032524,0.812266594,82,70,601,592
THAP11,6,3.06003068,110,0.0115879651,1.35774245,316,6,0.36112761,Treg,FALSE,0.77815125,0.407887966,2.65214271,0.562778809,0.794963641,32,77,601,592
NR3C1,164,3.0400556,111,0.0122750481,1.94672581,58,166,5.36365444e-5,Treg,FALSE,2.21484385,4.00945983,-0.969404231,1.89911495,0.0476108638,434,362,601,592
CEBPZ,11,3.03752977,112,0.0122750481,1.56758339,202,11,0.162672548,Treg,FALSE,1.04139269,0.808427386,2.22910239,0.879981683,0.687601707,57,95,601,592
IRF7,15,3.01976834,113,0.0129074492,1.69646303,142,15,0.0776860324,Treg,FALSE,1.17609126,1.00731582,2.01245253,1.04901258,0.647450447,72,107,601,592
DLX4,25,3.01450258,114,0.0130231193,1.5609057,206,26,0.13183546,Treg,FALSE,1.39794001,1.41401797,1.60048461,1.29778441,0.263121287,103,257,601,592
YBX1,64,3.00557133,115,0.0132997359,1.69260623,148,64,0.0292728169,Treg,FALSE,1.80617997,2.5024472,0.503124131,1.61336948,0.0792367524,220,344,601,592
MYOD1,85,2.99141073,116,0.0138168093,1.69556513,145,87,0.0187945833,Treg,FALSE,1.92941893,2.88210993,0.109300798,1.70953271,-0.0139675824,269,384,601,592
IRF5,20,2.97857475,117,0.0142904456,2.15603125,18,20,6.87559161e-4,Treg,FALSE,1.30103,1.23126769,1.74730706,1.19032524,0.965706014,92,30,601,592
ENO1,10,2.95393813,118,0.0153528242,1.15336163,383,10,0.549662558,Treg,FALSE,1,0.74342295,2.21051518,0.829402039,0.323959591,59,226,601,592
NCOA2,37,2.95072761,119,0.0153528242,1.60740954,178,39,0.0831135322,Treg,FALSE,1.56820172,1.81671355,1.13401406,1.46043271,0.146976826,146,314,601,592
NRF1,66,2.94901235,120,0.0153528242,1.70628772,133,67,0.0240271281,Treg,FALSE,1.81954394,2.54358193,0.405430419,1.62766706,0.0786206556,229,345,601,592
KCNIP3,6,2.94352287,121,0.0155035453,1.6982195,141,6,0.0577642805,Treg,FALSE,0.77815125,0.407887966,2.53563491,0.562778809,1.13544069,42,8,601,592
ARID3A,6,2.91631952,122,0.0167877706,1.50884785,237,6,0.206626064,Treg,FALSE,0.77815125,0.407887966,2.50843155,0.562778809,0.946069041,44,33,601,592
WT1,93,2.91172965,123,0.0169031708,1.8014485,103,95,0.00500430409,Treg,FALSE,1.96848295,3.01636512,-0.104635476,1.73620173,0.0652467684,305,353,601,592
NUPR1,6,2.90685029,124,0.0169560615,1.47972547,252,6,0.234028565,Treg,FALSE,0.77815125,0.407887966,2.49896233,0.562778809,0.916946661,45,42,601,592
CDX2,25,2.90590195,125,0.0169560615,1.51875319,228,25,0.164606835,Treg,FALSE,1.39794001,1.41401797,1.49188398,1.28099249,0.237760697,112,272,601,592
CREBBP,26,2.89703874,126,0.0170644445,1.7501349,116,26,0.0445391833,Treg,FALSE,1.41497335,1.4462279,1.45081084,1.29778441,0.452350487,116,170,601,592
BMAL2,6,2.89701263,127,0.0170644445,1.4468956,270,7,0.268707279,Treg,FALSE,0.77815125,0.407887966,2.48912467,0.642701868,0.804193732,46,74,601,592
ZNF91,26,2.89675148,128,0.0170644445,1.39106636,296,26,0.264665486,Treg,FALSE,1.41497335,1.4462279,1.45052358,1.29778441,0.0932819465,117,337,601,592
PLAGL1,12,2.8839226,129,0.0176422224,1.51047739,234,12,0.206626064,Treg,FALSE,1.07918125,0.865637847,2.01828475,0.926747816,0.583729574,71,132,601,592
TSC22D1,5,2.86757172,130,0.0182217307,1.46133957,264,6,0.252143836,Treg,FALSE,0.698970004,0.294075668,2.57349606,0.562778809,0.898560761,39,46,601,592
HSF2,19,2.86583279,131,0.0182217307,1.69558421,144,19,0.0726575599,Treg,FALSE,1.2787536,1.18983492,1.67599787,1.16853662,0.527047586,96,149,601,592
AHR,115,2.86441441,132,0.0182217307,1.63564911,165,115,0.0176399681,Treg,FALSE,2.06069784,3.3611358,-0.496721383,1.7929372,-0.157288091,372,434,601,592
ATF4,81,2.86143999,133,0.0182611588,1.42461155,282,86,0.139011246,Treg,FALSE,1.90848502,2.81332409,0.0481158986,1.70599791,-0.281386357,278,464,601,592
TBX5,8,2.84696131,134,0.018975692,1.54598726,212,8,0.182232311,Treg,FALSE,0.903089987,0.595113485,2.25184783,0.712199922,0.833787338,55,65,601,592
KAT7,52,2.82861129,135,0.0199552831,1.53347779,220,53,0.100821377,Treg,FALSE,1.71600334,2.21623931,0.612371986,1.56011159,-0.0266337972,207,394,601,592
KAT5,41,2.81851541,136,0.020429372300000002,1.57200867,197,43,0.0980741102,Treg,FALSE,1.61278386,1.93003919,0.888476228,1.49669654,0.0753121301,165,347,601,592
SMAD4,62,2.81520348,137,0.020429372300000002,1.56274672,204,62,0.0770850554,Treg,FALSE,1.79239169,2.45923793,0.355965548,1.60392864,-0.0411819225,237,401,601,592
PPARA,156,2.81431897,138,0.020429372300000002,1.92102171,66,161,1.04584886e-4,Treg,FALSE,2.1931246,3.91357177,-1.0992528,1.89033878,0.0306829301,449,367,601,592
LEF1,52,2.79591527,139,0.0214722971,1.43360162,275,55,0.172379415,Treg,FALSE,1.71600334,2.21623931,0.579675965,1.57030832,-0.136706699,210,427,601,592
EPAS1,62,2.79380722,140,0.0214722971,1.53776859,216,63,0.0887042941,Treg,TRUE,1.79239169,2.45923793,0.334569293,1.60864488,-0.0708762906,241,411,601,592
TFDP1,29,2.75903039,141,0.0237327365,1.46378433,263,29,0.198160363,Treg,FALSE,1.462398,1.54698167,1.21204872,1.34409339,0.11969094,137,328,601,592
PBX1,23,2.73491274,142,0.0251997909,1.28807101,333,23,0.376124184,Treg,FALSE,1.36172784,1.34548248,1.38943025,1.24682917,0.0412418397,124,364,601,592
STAT6,80,2.72822592,143,0.0253755055,2.04174057,37,80,4.03438837e-4,Treg,FALSE,1.90308999,2.79596729,-0.0677413721,1.68371365,0.358026916,296,209,601,592
ID1,51,2.70128206,144,0.0273438781,1.62518105,171,51,0.0580808427,Treg,FALSE,1.70757018,2.19007794,0.511204125,1.54939241,0.0757886414,218,346,601,592
DNMT1,114,2.66483314,145,0.0302915272,1.8404319,88,114,0.00150697089,Treg,FALSE,2.05690485,3.34624374,-0.681410599,1.79037344,0.0500584606,400,360,601,592
FOSL1,25,2.64732469,146,0.0316000057,1.94998694,55,25,0.00812807715,Treg,FALSE,1.39794001,1.41401797,1.23330672,1.28099249,0.668994447,136,99,601,592
BARX2,11,2.63109591,147,0.0328251092,1.5381247,215,11,0.188322317,Treg,FALSE,1.04139269,0.808427386,1.82266852,0.879981683,0.658143017,86,100,601,592
MEOX2,5,2.6263507,148,0.033009989000000003,1.60581936,181,5,0.104473904,Treg,FALSE,0.698970004,0.294075668,2.33227503,0.468560678,1.13725868,49,7,601,592
NCOA3,49,2.62234914,149,0.033009989000000003,1.48027289,251,49,0.145385053,Treg,FALSE,1.69019608,2.13727318,0.485075962,1.53795707,-0.0576841781,223,405,601,592
ASCL1,32,2.62101898,150,0.033009989000000003,1.54015263,214,33,0.131642629,Treg,FALSE,1.50514998,1.65196558,0.969053393,1.3960619,0.144090734,160,315,601,592
RB1,32,2.61890145,151,0.033009989000000003,1.20118257,363,33,0.454193173,Treg,FALSE,1.50514998,1.65196558,0.966935866,1.3960619,-0.194879326,161,446,601,592
PARK7,5,2.6184344,152,0.033009989000000003,1.71658858,126,5,0.0361293642,Treg,FALSE,0.698970004,0.294075668,2.32435873,0.468560678,1.2480279,51,1,601,592
MAZ,23,2.60718113,153,0.0339037783,1.64266462,164,23,0.0901768107,Treg,FALSE,1.36172784,1.34548248,1.26169865,1.24682917,0.39583545,133,193,601,592
CEBPE,19,2.58370054,154,0.0360773363,1.44026862,272,19,0.241264658,Treg,FALSE,1.2787536,1.18983492,1.39386562,1.16853662,0.271731996,122,253,601,592
EP300,45,2.53263829,155,0.0412745059,1.42406662,287,45,0.198554989,Treg,FALSE,1.65321251,2.03163353,0.501004752,1.51193468,-0.087868058,221,418,601,592
MSX2,13,2.52334734,156,0.0420203287,1.3045355,328,14,0.387559355,Treg,FALSE,1.11394335,0.915255263,1.60809207,1.01094486,0.293590637,102,244,601,592
KDM5A,10,2.52113357,157,0.0420203287,1.32909818,323,10,0.374734242,Treg,FALSE,1,0.74342295,1.77771062,0.829402039,0.499696141,90,153,601,592
TGFB1I1,8,2.52001201,158,0.0420203287,1.489042,245,8,0.23233285,Treg,FALSE,0.903089987,0.595113485,1.92489852,0.712199922,0.776842078,79,80,601,592
POU4F2,16,2.48277736,159,0.0461280981,0.913841523,457,16,0.774644298,Treg,FALSE,1.20411998,1.05434751,1.42842985,1.08474741,-0.170905891,120,439,601,592
GATA4,58,2.47115691,160,0.0473752717,1.28386229,335,58,0.315710702,Treg,FALSE,1.76342799,2.3669561,0.104200802,1.58496277,-0.301100477,271,467,601,592
POU2F1,56,2.45059438,161,0.0498186032,1.93768524,59,57,0.00221096378,Treg,FALSE,1.74818803,2.3181512,0.13244318,1.58014118,0.357544057,268,210,601,592
NR3C2,30,2.44892604,162,0.0498186032,1.98651277,48,30,0.0058799374,Treg,FALSE,1.47712125,1.58198729,0.866938755,1.35798529,0.62852747899999994,170,110,601,592
PITX3,6,2.43730197,163,0.0511529869,1.61494818,176,6,0.114530905,Treg,FALSE,0.77815125,0.407887966,2.029414,0.562778809,1.05216937,70,17,601,592
HNF4A,122,2.42863061,164,0.0520928735,1.80345527,102,124,0.00235148155,Treg,FALSE,2.08635983,3.46336621,-1.0347356,1.81495957,-0.0115042972,441,383,601,592
FOXC2,10,2.42505888,165,0.0523090999,1.6273629,170,10,0.12267308,Treg,FALSE,1,0.74342295,1.68163593,0.829402039,0.797960861,95,75,601,592
TADA2A,6,2.41692765,166,0.0531212977,1.57193542,198,7,0.161838405,Treg,FALSE,0.77815125,0.407887966,2.00903968,0.642701868,0.929233552,73,39,601,592
MYCN,90,2.41534367,167,0.0531212977,1.7800683,108,93,0.00698369992,Treg,FALSE,1.95424251,2.96655718,-0.551213507,1.72978669,0.050281613,381,359,601,592
ZIC1,10,2.40768864,168,0.0539446848,1.45083755,269,11,0.256558108,Treg,FALSE,1,0.74342295,1.66426569,0.879981683,0.570855867,97,139,601,592
NKX3-1,46,2.4023841,169,0.0544290186,1.76440008,111,47,0.0213600604,Treg,FALSE,1.66275783,2.05784436,0.344539739,1.52556832,0.238831756,239,271,601,592
