tf,regulon_size,ulm_score,ulm_rank,ulm_padj,fgsea_nes,fgsea_rank,fgsea_set_size,fgsea_padj,population,focus_tf,log_size,ulm_score_size_expected,ulm_score_size_residual,fgsea_nes_size_expected,fgsea_nes_size_residual,ulm_score_size_residual_rank,fgsea_nes_size_residual_rank,n_tfs_ulm_ranked,n_tfs_fgsea_ranked
PML,16,0.860004735,349,0.563089424,1.43043336,277,16,0.260073355,Treg,FALSE,1.20411998,1.05434751,-0.194342773,1.08474741,0.345685946,319,219,601,592
PITX2,62,0.844021774,350,0.572039619,1.29412727,331,62,0.298679171,Treg,FALSE,1.79239169,2.45923793,-1.61521616,1.60392864,-0.309801373,509,470,601,592
TAL1,60,0.843774851,351,0.572039619,0.9644152,442,60,0.737881671,Treg,FALSE,1.77815125,2.41403622,-1.57026137,1.59448623,-0.630071025,504,507,601,592
ZNF699,31,0.807818902,352,0.59583149,0.994282103,431,32,0.700995062,Treg,FALSE,1.49136169,1.61707505,-0.809256149,1.3839096,-0.389627499,416,488,601,592
TCF7,15,0.806771601,353,0.59583149,1.05644255,413,15,0.634350307,Treg,FALSE,1.17609126,1.00731582,-0.200544214,1.04901258,0.00742996683,320,376,601,592
BRD4,10,0.804576714,354,0.59583149,1.03496856,421,10,0.666802919,Treg,FALSE,1,0.74342295,0.0611537648,0.829402039,0.205566521,276,284,601,592
HESX1,13,0.804113537,355,0.59583149,1.21087455,360,13,0.48356755,Treg,FALSE,1.11394335,0.915255263,-0.111141725,0.970288406,0.240586144,307,269,601,592
MLXIPL,11,0.792602323,356,0.603854028,1.06365915,411,11,0.6349939,Treg,FALSE,1.04139269,0.808427386,-0.0158250632,0.879981683,0.183677467,285,296,601,592
MAX,35,0.779433044,357,0.610439262,1.47783229,254,35,0.172387343,Treg,FALSE,1.54406804,1.75335301,-0.97391997,1.41899447,0.058837824,435,355,601,592
RXRB,7,0.766730093,358,0.61952609,1.50941654,236,7,0.212917835,Treg,FALSE,0.84509804,0.507633698,0.259096394,0.642701868,0.866714672,250,53,601,592
NR1H2,30,0.760147107,359,0.621108632,1.6200848,175,30,0.0895589207,Treg,FALSE,1.47712125,1.58198729,-0.821840183,1.35798529,0.262099509,417,258,601,592
ELK4,6,0.759631658,360,0.621108632,1.15242015,384,6,0.565532623,Treg,FALSE,0.77815125,0.407887966,0.351743691,0.562778809,0.589641341,238,129,601,592
PDX1,44,0.721878412,361,0.649883121,0.980590005,436,45,0.715023757,Treg,FALSE,1.64345268,2.0057221,-1.28384369,1.51193468,-0.531344673,475,503,601,592
E2F2,45,0.710925699,362,0.656206906,1.09706211,400,45,0.563475887,Treg,FALSE,1.65321251,2.03163353,-1.32070783,1.51193468,-0.414872568,482,491,601,592
ZNF436,5,0.698130407,363,0.665638018,1.31080707,327,5,0.414082831,Treg,FALSE,0.698970004,0.294075668,0.40405474,0.468560678,0.842246392,230,63,601,592
E2F6,37,0.691303069,364,0.668457563,1.17259899,375,38,0.478320702,Treg,FALSE,1.56820172,1.81671355,-1.12541048,1.45054711,-0.277948121,454,462,601,592
YY1,163,0.679662034,365,0.676286277,1.83984965,89,169,2.78428388e-4,Treg,FALSE,2.2121876,3.99766377,-3.31800173,1.90425305,-0.064403401,584,409,601,592
NKRF,5,0.678653572,366,0.676286277,1.08005245,405,5,0.644161013,Treg,FALSE,0.698970004,0.294075668,0.384577905,0.468560678,0.611491772,233,120,601,592
IKZF1,29,0.676410097,367,0.676690028,1.46841015,260,29,0.194546206,Treg,FALSE,1.462398,1.54698167,-0.870571571,1.34409339,0.12431676,422,323,601,592
HHEX,17,0.67205714,368,0.677499343,-1.51651489,591,18,0.184457062,Treg,FALSE,1.23044892,1.1014466,-0.429389458,1.1442887,-2.66080359,357,591,601,592
NR4A2,31,0.663361566,369,0.682525418,1.2438634,350,31,0.408207536,Treg,FALSE,1.49136169,1.61707505,-0.953713485,1.37123608,-0.127372678,428,424,601,592
ZBTB7B,9,0.662541155,370,0.682525418,1.35759747,317,9,0.352134909,Treg,FALSE,0.954242509,0.673156788,-0.0106156334,0.773952919,0.583644551,284,133,601,592
ZGLP1,10,0.660717281,371,0.68257034,0.884762411,471,10,0.797376327,Treg,FALSE,1,0.74342295,-0.0827056692,0.829402039,0.0553603718,300,357,601,592
KLF15,10,0.648161954,372,0.689684439,1.13698009,387,11,0.562189799,Treg,FALSE,1,0.74342295,-0.0952609961,0.879981683,0.256998407,303,259,601,592
TWIST2,24,0.642661761,373,0.691861783,1.60273464,183,24,0.110876376,Treg,FALSE,1.38021124,1.38046,-0.737798236,1.26407253,0.338662106,405,223,601,592
NFIL3,22,0.635582754,374,0.692159994,1.35520431,318,22,0.311599369,Treg,FALSE,1.34242268,1.30901041,-0.673427659,1.2290145,0.126189811,397,321,601,592
DLX3,8,0.635417848,375,0.692159994,0.849215038,479,8,0.823568078,Treg,FALSE,0.903089987,0.595113485,0.0403043628,0.712199922,0.137015116,280,317,601,592
HOXC8,9,0.627649451,376,0.695645049,-0.563033352,517,9,0.988651248,Treg,FALSE,0.954242509,0.673156788,-0.0455073375,0.773952919,-1.33698627,289,521,601,592
RFX1,17,0.613973885,377,0.703003861,1.57597133,193,18,0.141015819,Treg,FALSE,1.23044892,1.1014466,-0.487472713,1.1442887,0.431682631,370,175,601,592
SFPQ,17,0.611663726,378,0.70346946,0.855269918,478,18,0.830966788,Treg,FALSE,1.23044892,1.1014466,-0.489782871,1.1442887,-0.289018781,371,466,601,592
HLF,12,0.606355089,379,0.70347808,0.906818531,463,12,0.780306587,Treg,FALSE,1.07918125,0.865637847,-0.259282758,0.926747816,-0.0199292853,332,390,601,592
FOXJ1,6,0.6055052,380,0.70347808,1.00622232,427,6,0.701332671,Treg,FALSE,0.77815125,0.407887966,0.197617234,0.562778809,0.443443511,259,171,601,592
NKX6-1,5,0.605096042,381,0.70347808,1.05707919,412,5,0.664167796,Treg,FALSE,0.698970004,0.294075668,0.311020374,0.468560678,0.588518512,246,130,601,592
ARID4B,6,0.588471114,382,0.715827822,-0.98895181,559,6,0.716624264,Treg,FALSE,0.77815125,0.407887966,0.180583148,0.562778809,-1.55173062,261,540,601,592
CXXC1,14,0.581922226,383,0.719952335,0.746241129,501,14,0.911358545,Treg,FALSE,1.14612804,0.961554623,-0.379632396,1.01094486,-0.264703734,352,458,601,592
ZEB2,11,0.57759987,384,0.722152867,1.15364391,382,11,0.54565805,Treg,FALSE,1.04139269,0.808427386,-0.230827516,0.879981683,0.273662227,327,252,601,592
MBD2,65,0.559110482,385,0.7366665,1.11243079,397,66,0.529871376,Treg,FALSE,1.81291336,2.52327794,-1.96416746,1.62287391,-0.510443124,530,501,601,592
OTX2,12,0.548853617,386,0.741169377,0.936235466,447,12,0.755409658,Treg,FALSE,1.07918125,0.865637847,-0.316784231,0.926747816,0.00948764965,346,375,601,592
KLF11,11,0.545775449,387,0.742030862,-0.909404814,550,11,0.775909509,Treg,FALSE,1.04139269,0.808427386,-0.262651937,0.879981683,-1.7893865,334,559,601,592
ELF1,56,0.539033372,388,0.743548998,0.906320719,464,56,0.808076061,Treg,FALSE,1.74818803,2.3181512,-1.77911783,1.57526151,-0.668940786,520,508,601,592
MED1,10,0.538648632,389,0.743548998,1.13856677,386,10,0.564100682,Treg,FALSE,1,0.74342295,-0.204774318,0.829402039,0.309164731,321,234,601,592
ETV7,8,0.528079123,390,0.746790343,0.908242973,461,8,0.775909509,Treg,FALSE,0.903089987,0.595113485,-0.0670343626,0.712199922,0.196043051,295,289,601,592
E4F1,9,0.514364522,391,0.756867579,0.874485547,474,9,0.806415428,Treg,FALSE,0.954242509,0.673156788,-0.158792266,0.773952919,0.100532628,311,333,601,592
KAT6B,8,0.511821982,392,0.757513439,0.797198851,487,8,0.862482804,Treg,FALSE,0.903089987,0.595113485,-0.0832915029,0.712199922,0.0849989287,301,341,601,592
NR4A1,66,0.503701033,393,0.763020919,1.53375178,218,68,0.0867523529,Treg,FALSE,1.81954394,2.54358193,-2.0398809,1.63243317,-0.0986813949,532,421,601,592
SALL4,10,0.498609368,394,0.764100153,1.40576478,290,10,0.303016944,Treg,FALSE,1,0.74342295,-0.244813582,0.829402039,0.576362741,329,135,601,592
AIRE,15,0.498295143,395,0.764100153,0.9308325,449,16,0.760266799,Treg,FALSE,1.17609126,1.00731582,-0.509020672,1.08474741,-0.153914914,375,432,601,592
ZHX2,8,0.497048458,396,0.764100153,-0.741705423,530,8,0.904665118,Treg,FALSE,0.903089987,0.595113485,-0.0980650267,0.712199922,-1.45390535,304,528,601,592
ZNF395,6,0.489067744,397,0.769478774,0.881831888,473,6,0.797309191,Treg,FALSE,0.77815125,0.407887966,0.0811797776,0.562778809,0.319053079,273,228,601,592
SATB2,15,0.480930023,398,0.77422758,-1.055896,565,15,0.633461498,Treg,FALSE,1.17609126,1.00731582,-0.526385793,1.04901258,-2.10490858,379,579,601,592
TLX1,5,0.480001537,399,0.77422758,0.884440581,472,5,0.79598385,Treg,FALSE,0.698970004,0.294075668,0.185925869,0.468560678,0.415879903,260,180,601,592
NEUROG3,6,0.470824323,400,0.780655584,0.710831328,505,6,0.916271429,Treg,FALSE,0.77815125,0.407887966,0.0629363568,0.562778809,0.148052519,275,313,601,592
TRPS1,10,0.46755852,401,0.781920072,1.47071484,257,10,0.243929275,Treg,FALSE,1,0.74342295,-0.27586443,0.829402039,0.641312801,337,108,601,592
LHX2,14,0.459447912,402,0.785987367,0.619643563,507,15,0.978624112,Treg,FALSE,1.14612804,0.961554623,-0.50210671,1.04901258,-0.42936902,373,495,601,592
TFAP2B,11,0.452710427,403,0.790119871,0.926394063,451,11,0.76248569,Treg,FALSE,1.04139269,0.808427386,-0.355716959,0.879981683,0.0464123804,350,363,601,592
SP2,17,0.446341418,404,0.793740275,1.60268984,184,17,0.128427983,Treg,FALSE,1.23044892,1.1014466,-0.65510518,1.1167292,0.485960641,392,158,601,592
HOXB7,8,0.444915711,405,0.793740275,0.677079495,506,8,0.937489725,Treg,FALSE,0.903089987,0.595113485,-0.150197774,0.712199922,-0.0351204273,310,397,601,592
PAX7,10,0.437547726,406,0.794944968,1.26270192,341,10,0.442012918,Treg,FALSE,1,0.74342295,-0.305875224,0.829402039,0.433299881,342,173,601,592
ZNF143,21,0.437075267,407,0.794944968,0.779281107,492,21,0.897602392,Treg,FALSE,1.32221929,1.27096565,-0.833890384,1.21031357,-0.431032463,419,496,601,592
SMARCA1,35,0.43581645,408,0.794944968,1.03845566,420,37,0.645581993,Treg,FALSE,1.54406804,1.75335301,-1.31753656,1.44036435,-0.401908689,481,490,601,592
MTA1,37,0.434977625,409,0.794944968,1.38751288,299,39,0.240628269,Treg,FALSE,1.56820172,1.81671355,-1.38173593,1.46043271,-0.0729198336,490,412,601,592
ZKSCAN7,8,0.434410192,410,0.794944968,0.895712699,468,8,0.784872191,Treg,FALSE,0.903089987,0.595113485,-0.160703294,0.712199922,0.183512777,312,298,601,592
TBX15,16,0.429067067,411,0.798004958,0.871398013,475,16,0.813903196,Treg,FALSE,1.20411998,1.05434751,-0.625280442,1.08474741,-0.213349401,389,449,601,592
CREB5,9,0.423960898,412,0.800857357,1.38802344,298,9,0.322594284,Treg,FALSE,0.954242509,0.673156788,-0.24919589,0.773952919,0.614070521,330,118,601,592
MECOM,10,0.416373796,413,0.805867077,1.34878101,321,10,0.356092186,Treg,FALSE,1,0.74342295,-0.327049154,0.829402039,0.519378971,347,151,601,592
SOX10,12,0.412669083,414,0.8060398,0.801361933,486,12,0.867590029,Treg,FALSE,1.07918125,0.865637847,-0.452968764,0.926747816,-0.125385883,361,423,601,592
BACH1,12,0.408578846,415,0.806278703,1.17088739,378,12,0.527964255,Treg,FALSE,1.07918125,0.865637847,-0.457059001,0.926747816,0.244139574,362,268,601,592
ATF7,5,0.403206104,416,0.809349929,1.53208776,221,5,0.171873574,Treg,FALSE,0.698970004,0.294075668,0.109130436,0.468560678,1.06352708,270,13,601,592
PKNOX1,10,0.385872321,417,0.819605954,0.924177969,452,10,0.764215424,Treg,FALSE,1,0.74342295,-0.357550629,0.829402039,0.0947759298,351,335,601,592
MSX1,8,0.379091537,418,0.820697694,1.53160984,222,9,0.192563103,Treg,FALSE,0.903089987,0.595113485,-0.216021948,0.773952919,0.757656921,324,82,601,592
HINFP,9,0.373719148,419,0.821241398,1.06800144,409,9,0.63408709,Treg,FALSE,0.954242509,0.673156788,-0.29943764,0.773952919,0.294048521,341,243,601,592
NFATC4,18,0.368902437,420,0.821241398,0.912019437,460,18,0.780404265,Treg,FALSE,1.25527251,1.1465867,-0.777684267,1.1442887,-0.232269262,410,457,601,592
ONECUT1,7,0.367832797,421,0.821241398,0.765903462,496,7,0.883990021,Treg,FALSE,0.84509804,0.507633698,-0.139800901,0.642701868,0.123201594,309,325,601,592
HOXA7,9,0.365956432,422,0.821241398,-0.697601948,527,9,0.930894947,Treg,FALSE,0.954242509,0.673156788,-0.307200356,0.773952919,-1.47155487,343,531,601,592
NRL,8,0.363884002,423,0.821241398,0.897830223,466,8,0.784124388,Treg,FALSE,0.903089987,0.595113485,-0.231229483,0.712199922,0.185630301,328,294,601,592
NSD2,6,0.356456334,424,0.825950546,-0.60085345,520,7,0.976681358,Treg,FALSE,0.77815125,0.407887966,-0.051431632,0.642701868,-1.24355532,293,515,601,592
BCL11A,5,0.354442397,425,0.82610387,-0.843779344,544,6,0.82966136,Treg,FALSE,0.698970004,0.294075668,0.0603667297,0.562778809,-1.40655815,277,525,601,592
GLI3,22,0.349452853,426,0.828803653,1.62957678,168,22,0.100397319,Treg,FALSE,1.34242268,1.30901041,-0.959557561,1.2290145,0.400562281,432,187,601,592
ESRRG,15,0.33737874,427,0.835988124,0.992092033,432,15,0.70336059,Treg,FALSE,1.17609126,1.00731582,-0.669937076,1.04901258,-0.0569205502,394,404,601,592
ZXDC,6,0.32871322,428,0.841827933,0.737564753,503,6,0.900171474,Treg,FALSE,0.77815125,0.407887966,-0.0791747462,0.562778809,0.174785944,298,303,601,592
GLI2,81,0.32410385,429,0.844189109,1.38558895,300,84,0.175239487,Treg,FALSE,1.90848502,2.81332409,-2.48922024,1.69878044,-0.313191495,554,471,601,592
HBP1,36,0.311503021,430,0.851799539,1.65679953,159,39,0.0606139101,Treg,FALSE,1.5563025,1.78553283,-1.47402981,1.46043271,0.196366816,498,288,601,592
ETV1,13,0.301593787,431,0.857529788,0.927675602,450,13,0.763141578,Treg,FALSE,1.11394335,0.915255263,-0.613661475,0.970288406,-0.0426128036,386,402,601,592
SIRT1,40,0.301079345,432,0.857529788,2.01608289,40,40,0.00221096378,Treg,FALSE,1.60205999,1.90352096,-1.60244161,1.47004572,0.546037169,505,146,601,592
NFE2,7,0.29904485,433,0.857669905,0.584406753,509,8,0.979933675,Treg,FALSE,0.84509804,0.507633698,-0.208588848,0.712199922,-0.127793169,322,425,601,592
DNMT3A,38,0.289367514,434,0.862153651,1.83342791,92,38,0.0130520622,Treg,FALSE,1.5797836,1.846813,-1.55744548,1.45054711,0.382880799,503,201,601,592
ZEB1,36,0.278619627,435,0.865872619,2.05451596,35,36,0.00224892839,Treg,FALSE,1.5563025,1.78553283,-1.5069132,1.42985702,0.624658942,500,113,601,592
THRB,28,0.246920582,436,0.882826567,1.29240587,332,28,0.35835065,Treg,FALSE,1.44715803,1.51239733,-1.26547675,1.32948734,-0.0370814723,472,398,601,592
MYBL2,38,0.232211701,437,0.893702309,0.847872863,480,38,0.857452882,Treg,FALSE,1.5797836,1.846813,-1.61460129,1.45054711,-0.602674248,508,505,601,592
ELF2,6,0.222829492,438,0.898414793,0.75682743,498,6,0.88867384,Treg,FALSE,0.77815125,0.407887966,-0.185058475,0.562778809,0.194048621,316,291,601,592
ZNF148,21,0.214434932,439,0.901745353,1.37508755,307,21,0.294145027,Treg,FALSE,1.32221929,1.27096565,-1.05653072,1.21031357,0.16477398,443,310,601,592
AIP,5,0.21313321,440,0.901745353,0.771331502,494,5,0.876298177,Treg,FALSE,0.698970004,0.294075668,-0.0809424574,0.468560678,0.302770824,299,239,601,592
KDM5C,9,0.205281952,441,0.905126353,-0.601230784,521,9,0.978292529,Treg,FALSE,0.954242509,0.673156788,-0.467874836,0.773952919,-1.3751837,365,523,601,592
HSF4,7,0.198298885,442,0.906558308,1.58130961,192,7,0.153173319,Treg,FALSE,0.84509804,0.507633698,-0.309334813,0.642701868,0.938607742,344,37,601,592
NR2F1,21,0.18881091,443,0.910546261,0.844487427,481,22,0.845968673,Treg,FALSE,1.32221929,1.27096565,-1.08215474,1.2290145,-0.384527072,447,486,601,592
TCF12,29,0.174778711,444,0.917756885,0.934399463,448,30,0.76408165,Treg,FALSE,1.462398,1.54698167,-1.37220296,1.35798529,-0.423585828,488,493,601,592
ISL1,12,0.166434077,445,0.921481405,0.760599556,497,12,0.896606632,Treg,FALSE,1.07918125,0.865637847,-0.69920377,0.926747816,-0.16614826,402,437,601,592
PAX2,9,0.154193118,446,0.930076322,-1.03675677,564,10,0.660995849,Treg,FALSE,0.954242509,0.673156788,-0.51896367,0.829402039,-1.86615881,377,565,601,592
ZNF263,6,0.146929806,447,0.93450161,0.739489506,502,6,0.899131816,Treg,FALSE,0.77815125,0.407887966,-0.26095816,0.562778809,0.176710697,333,301,601,592
CUX1,74,0.137148931,448,0.936038849,1.3256366,324,76,0.24545407,Treg,FALSE,1.86923172,2.69061895,-2.55347002,1.66771792,-0.342081318,558,478,601,592
NR4A3,25,0.124731599,449,0.936038849,1.28462116,334,25,0.374156464,Treg,FALSE,1.39794001,1.41401797,-1.28928637,1.28099249,0.00362866712,476,379,601,592
JARID2,10,0.123271976,450,0.936038849,-0.791713891,537,10,0.872753377,Treg,FALSE,1,0.74342295,-0.620150974,0.829402039,-1.62111593,388,547,601,592
HIVEP1,5,0.118885429,451,0.936038849,-1.49322125,590,5,0.19072227,Treg,FALSE,0.698970004,0.294075668,-0.175190238,0.468560678,-1.96178193,314,572,601,592
ATF5,20,0.117523463,452,0.936038849,0.771808771,493,20,0.90260884,Treg,FALSE,1.30103,1.23126769,-1.11374423,1.19032524,-0.418516465,451,492,601,592
LRRFIP1,8,0.111853748,453,0.937723922,1.82853119,93,8,0.0248435622,Treg,FALSE,0.903089987,0.595113485,-0.483259737,0.712199922,1.11633127,368,9,601,592
RARB,23,0.111527972,454,0.937723922,0.551602774,511,24,0.999252847,Treg,FALSE,1.36172784,1.34548248,-1.23395451,1.26407253,-0.71246976,470,509,601,592
NEUROG2,10,0.075836677,455,0.957741811,0.840059141,483,10,0.833911942,Treg,FALSE,1,0.74342295,-0.667586273,0.829402039,0.0106571018,393,374,601,592
CDX1,15,0.05185786,456,0.970634878,0.912549634,459,15,0.77469388,Treg,FALSE,1.17609126,1.00731582,-0.955457955,1.04901258,-0.136462949,429,426,601,592
TRERF1,13,0.0509957353,457,0.970634878,2.00490393,44,13,0.00786758569,Treg,FALSE,1.11394335,0.915255263,-0.864259527,0.970288406,1.03461552,421,20,601,592
HOXB13,7,0.043356546,458,0.975153242,-1.08988159,569,7,0.619646633,Treg,FALSE,0.84509804,0.507633698,-0.464277152,0.642701868,-1.73258346,363,554,601,592
HIVEP3,5,0.0228630942,459,0.987937738,0.900729221,465,5,0.783578918,Treg,FALSE,0.698970004,0.294075668,-0.271212573,0.468560678,0.432168543,336,174,601,592
HCFC1,7,0.0213004754,460,0.987937738,0.808014613,485,7,0.853135026,Treg,FALSE,0.84509804,0.507633698,-0.486333223,0.642701868,0.165312745,369,309,601,592
GATA1,81,0.0129394009,461,0.992980753,1.7001636,138,81,0.0195009223,Treg,FALSE,1.90848502,2.81332409,-2.80038469,1.68756318,0.0126004249,568,372,601,592
HDAC7,9,-0.00181177472,462,0.99855444,1.78270847,106,9,0.0425849461,Treg,FALSE,0.954242509,0.673156788,-0.674968563,0.773952919,1.00875555,398,27,601,592
MEIS2,5,-0.00426050345,463,0.998261682,-1.29936684,582,5,0.40855138,Treg,FALSE,0.698970004,0.294075668,-0.298336171,0.468560678,-1.76792752,340,556,601,592
BTG2,6,-0.0362716596,464,0.979212794,0.917494255,456,6,0.769268454,Treg,FALSE,0.77815125,0.407887966,-0.444159626,0.562778809,0.354715446,360,214,601,592
TFAP4,27,-0.061948933,465,0.96505614,1.25246385,346,27,0.406639731,Treg,FALSE,1.43136376,1.47864601,-1.54059494,1.31408327,-0.0616194194,502,407,601,592
ARID4A,6,-0.0730014499,466,0.957741811,-1.29350049,581,6,0.419547835,Treg,FALSE,0.77815125,0.407887966,-0.480889416,0.562778809,-1.8562793,367,562,601,592
MNT,7,-0.0737401701,467,0.957741811,-0.973258054,555,7,0.723147698,Treg,FALSE,0.84509804,0.507633698,-0.581373868,0.642701868,-1.61595992,384,546,601,592
ETV3,10,-0.0800769854,468,0.956874966,-0.690970154,523,10,0.93766922,Treg,FALSE,1,0.74342295,-0.823499935,0.829402039,-1.52037219,418,537,601,592
GLI1,96,-0.0825168786,469,0.956518506,1.60784878,177,100,0.0300497136,Treg,FALSE,1.98227123,3.0655099,-3.14802678,1.75158008,-0.143731302,582,430,601,592
CTBP2,9,-0.105201103,470,0.939670415,1.08224356,404,9,0.621581734,Treg,FALSE,0.954242509,0.673156788,-0.778357891,0.773952919,0.308290641,411,236,601,592
DNMT3B,45,-0.108431269,471,0.938644011,0.987723946,434,45,0.706369199,Treg,FALSE,1.65321251,2.03163353,-2.1400648,1.51193468,-0.524210732,544,502,601,592
KDM5D,6,-0.118608883,472,0.936038849,-0.582885261,519,7,0.98071809,Treg,FALSE,0.77815125,0.407887966,-0.526496849,0.642701868,-1.22558713,380,514,601,592
MTA3,8,-0.120472445,473,0.936038849,-0.558295501,516,9,0.99012277,Treg,FALSE,0.903089987,0.595113485,-0.715585931,0.773952919,-1.33224842,403,520,601,592
TFDP3,5,-0.120731283,474,0.936038849,1.0838722,403,5,0.639917831,Treg,FALSE,0.698970004,0.294075668,-0.414806951,0.468560678,0.615311522,356,117,601,592
EWSR1,38,-0.120913544,475,0.936038849,1.37680556,306,38,0.253467324,Treg,FALSE,1.5797836,1.846813,-1.96772654,1.45054711,-0.0737415513,531,413,601,592
HEY1,15,-0.122113198,476,0.936038849,-0.77953122,534,16,0.892674106,Treg,FALSE,1.17609126,1.00731582,-1.12942901,1.08474741,-1.86427863,457,564,601,592
LMO2,19,-0.125838484,477,0.936038849,-1.20925335,575,19,0.466628795,Treg,FALSE,1.2787536,1.18983492,-1.31567341,1.16853662,-2.37778997,479,588,601,592
MXD1,19,-0.127467931,478,0.936038849,1.11653885,393,19,0.567465814,Treg,FALSE,1.2787536,1.18983492,-1.31730286,1.16853662,-0.0519977744,480,403,601,592
MTF2,5,-0.136558392,479,0.936038849,0.605096853,508,5,0.968300749,Treg,FALSE,0.698970004,0.294075668,-0.43063406,0.468560678,0.136536175,358,318,601,592
POU2F3,5,-0.142271937,480,0.936038849,0.771281989,495,5,0.876298177,Treg,FALSE,0.698970004,0.294075668,-0.436347604,0.468560678,0.302721311,359,240,601,592
MXI1,7,-0.167674097,481,0.921481405,-1.69325427,593,7,0.0657840769,Treg,FALSE,0.84509804,0.507633698,-0.675307795,0.642701868,-2.33595614,399,586,601,592
NR0B2,69,-0.18240472,482,0.912994539,1.54547047,213,70,0.0784161244,Treg,FALSE,1.83884909,2.60127703,-2.78368175,1.64171225,-0.0962417787,567,420,601,592
TCF7L2,64,-0.187260338,483,0.910546261,1.2439976,349,64,0.355684865,Treg,FALSE,1.80617997,2.5024472,-2.68970754,1.61336948,-0.369371878,562,484,601,592
ELF3,14,-0.190060007,484,0.910546261,0.989751207,433,14,0.706308218,Treg,FALSE,1.14612804,0.961554623,-1.15161463,1.01094486,-0.0211936561,459,391,601,592
NONO,10,-0.197799493,485,0.906558308,0.84135078,482,10,0.832971784,Treg,FALSE,1,0.74342295,-0.941222443,0.829402039,0.0119487408,426,373,601,592
ZNF236,6,-0.200443377,486,0.906558308,-0.72818614,528,6,0.909728262,Treg,FALSE,0.77815125,0.407887966,-0.608331343,0.562778809,-1.29096495,385,518,601,592
ZBTB17,34,-0.206622739,487,0.905126353,1.47774035,255,34,0.173046199,Treg,FALSE,1.53147892,1.72027635,-1.92689909,1.40774231,0.0699980368,529,348,601,592
ERG,26,-0.219074336,488,0.899970647,1.0462196,417,27,0.642269448,Treg,FALSE,1.41497335,1.4462279,-1.66530223,1.31408327,-0.267863669,513,459,601,592
ZBTB14,6,-0.228826902,489,0.894951067,-1.45290622,588,6,0.249916763,Treg,FALSE,0.77815125,0.407887966,-0.636714868,0.562778809,-2.01568503,390,575,601,592
NR2C1,10,-0.247032757,490,0.882826567,0.887070379,470,10,0.795218983,Treg,FALSE,1,0.74342295,-0.990455707,0.829402039,0.0576683398,436,356,601,592
MZF1,12,-0.258743648,491,0.87600356,1.18210323,371,12,0.516344855,Treg,FALSE,1.07918125,0.865637847,-1.1243815,0.926747816,0.255355414,453,261,601,592
ZNF335,5,-0.261636774,492,0.875150109,-0.788327641,536,5,0.871346347,Treg,FALSE,0.698970004,0.294075668,-0.555712441,0.468560678,-1.25688832,382,517,601,592
ZBTB33,7,-0.261910757,493,0.875150109,0.505267408,512,7,0.997750995,Treg,FALSE,0.84509804,0.507633698,-0.769544455,0.642701868,-0.13743446,409,428,601,592
ELK3,15,-0.27301574,494,0.86867759,1.46886158,259,15,0.231913845,Treg,FALSE,1.17609126,1.00731582,-1.28033156,1.04901258,0.419848997,474,177,601,592
CREB3L1,5,-0.278190613,495,0.865872619,0.968076281,441,5,0.734956269,Treg,FALSE,0.698970004,0.294075668,-0.572266281,0.468560678,0.499515603,383,154,601,592
KMT2B,11,-0.283695034,496,0.864380789,-0.913094864,551,11,0.773015347,Treg,FALSE,1.04139269,0.808427386,-1.09212242,0.879981683,-1.79307655,448,560,601,592
UBTF,8,-0.288180718,497,0.862153651,-0.856930044,547,8,0.819332531,Treg,FALSE,0.903089987,0.595113485,-0.88329420300000006,0.712199922,-1.56912997,424,541,601,592
HEY2,7,-0.293524637,498,0.860790389,-1.35991358,585,7,0.350561549,Treg,FALSE,0.84509804,0.507633698,-0.801158335,0.642701868,-2.00261545,414,574,601,592
REST,27,-0.317121933,499,0.848580157,0.983633502,435,27,0.713310118,Treg,FALSE,1.43136376,1.47864601,-1.79576794,1.31408327,-0.330449767,523,477,601,592
FOXA1,28,-0.346352313,500,0.829884435,0.976785009,438,28,0.718458092,Treg,FALSE,1.44715803,1.51239733,-1.85874965,1.32948734,-0.352702333,527,481,601,592
TEF,8,-0.363784926,501,0.821241398,-0.769381681,533,8,0.886234359,Treg,FALSE,0.903089987,0.595113485,-0.958898412,0.712199922,-1.4815816,431,533,601,592
FOXO1,157,-0.367077788,502,0.821241398,1.52938569,224,161,0.0274959415,Treg,FALSE,2.19589965,3.92575042,-4.29282821,1.89033878,-0.36095309,598,483,601,592
FOXE1,7,-0.368921696,503,0.821241398,-0.865763562,548,7,0.81098565,Treg,FALSE,0.84509804,0.507633698,-0.876555394,0.642701868,-1.50846543,423,535,601,592
ZFP42,7,-0.379441429,504,0.820697694,-0.779984983,535,7,0.876493283,Treg,FALSE,0.84509804,0.507633698,-0.887075128,0.642701868,-1.42268685,425,526,601,592
LMX1B,10,-0.382949867,505,0.820543606,-0.691773349,524,10,0.937489725,Treg,FALSE,1,0.74342295,-1.12637282,0.829402039,-1.52117539,456,538,601,592
SMARCA5,6,-0.390764737,506,0.816957482,-0.940600428,552,7,0.752068572,Treg,FALSE,0.77815125,0.407887966,-0.798652703,0.642701868,-1.5833023,413,543,601,592
GATA5,11,-0.394536456,507,0.815279468,-0.492360716,513,11,1,Treg,FALSE,1.04139269,0.808427386,-1.20296384,0.879981683,-1.3723424,466,522,601,592
