tf,target,mor,sign_decision,stat,contrib,n_regulons,n_other_regulons,selective,promiscuity_band,avg_expr,log2FoldChange,padj_gene,population
HIF1A,MDK,1,PMID,-0.272790535,-0.272790535,4,3,FALSE,<=5,-0.197586699,-0.103299828,0.856304701,Treg
HIF1A,SP1,-1,PMID,0.274958122,-0.274958122,60,59,FALSE,>25,4.41440321,0.0289583822,0.854949203,Treg
HIF1A,MSH6,-1,PMID,0.280880566,-0.280880566,7,6,FALSE,<=10,4.17842501,0.0694411561,0.852556518,Treg
HIF1A,BIRC5,1,PMID,-0.321950755,-0.321950755,57,56,FALSE,>25,3.37073402,-0.360015521,0.83184163,Treg
HIF1A,CX3CR1,1,default activation,-0.347482797,-0.347482797,4,3,FALSE,<=5,0.162049844,-0.330315391,0.816819835,Treg
HIF1A,MSH2,-1,PMID,0.38261495,-0.38261495,7,6,FALSE,<=10,4.5265796,0.0433444038,0.795285524,Treg
HIF1A,ESR2,1,PMID,-0.544415943,-0.544415943,20,19,FALSE,<=25,0.238421576,-0.151042603,0.705327189,Treg
HIF1A,BIRC3,1,PMID,-0.631968607,-0.631968607,26,25,FALSE,>25,7.62855128,-0.12319938,0.660023827,Treg
HIF1A,MXI1,1,default activation,-0.640997138,-0.640997138,5,4,FALSE,<=5,2.88423969,-0.112394154,0.653698391,Treg
HIF1A,SENP1,-1,PMID,0.663038988,-0.663038988,4,3,FALSE,<=5,3.79484677,0.0822877311,0.641661936,Treg
HIF1A,RECK,-1,PMID,0.669649037,-0.669649037,11,10,FALSE,<=25,3.04453903,0.132270081,0.638000465,Treg
HIF1A,KDM4B,1,PMID,-0.696288907,-0.696288907,5,4,FALSE,<=5,3.21347387,-0.0995049369,0.623902852,Treg
HIF1A,PPP1R10,1,default activation,-0.707397514,-0.707397514,1,0,TRUE,<=1,5.63345909,-0.0664063495,0.617806336,Treg
HIF1A,S100A8,1,PMID,-0.750300348,-0.750300348,8,7,FALSE,<=10,-0.940207176,-1.03514724,0.602972411,Treg
