population,tf,variant,method,configuration,score,p_value,padj,rank,n_tfs_scored,pct_rank,regulon_size,direction
CD8,STAT3,literature_signed,ulm,literature_signed / ulm,3.81286409,1.37954214e-4,0.00356281257,13,381,3.41207349,273,Up
CD8,STAT3,signed,consensus,signed / consensus,1.97377475,0.0484073609,0.998130892,14,598,2.34113712,273,Up
CD8,STAT3,signed,mlm,signed / mlm,0.477176194,0.633244435,0.926527401,201,598,33.6120401,273,Up
CD8,STAT3,signed,ulm,signed / ulm,3.81286409,1.37954214e-4,0.00299572823,26,598,4.34782609,273,Up
CD8,STAT3,unsigned,consensus,unsigned / consensus,2.5296925,0.0114162532,0.620629036,9,598,1.50501672,273,Up
CD8,STAT3,unsigned,mlm,unsigned / mlm,1.56094333,0.118560712,0.621923733,53,598,8.86287625,273,Up
CD8,STAT3,unsigned,ulm,unsigned / ulm,5.20001533,2.0207726e-7,9.29555397e-6,13,598,2.17391304,273,Up
CD8,STAT3,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.6477607,4.77600475e-5,0.00196003156,64,593,10.7925801,274,Up
Tcon,ATF3,alias_recovered,consensus,alias_recovered / consensus,0.904460599,0.365751218,0.999609915,82,611,13.4206219,79,Up
Tcon,ATF3,alias_recovered,mlm,alias_recovered / mlm,0.820023079,0.412217115,0.846712375,159,611,26.0229133,79,Up
Tcon,ATF3,alias_recovered,ulm,alias_recovered / ulm,3.49614781,4.73447445e-4,0.00301329572,95,611,15.5482815,79,Up
Tcon,ATF3,literature_signed,consensus,literature_signed / consensus,-0.145209222,0.884545685,0.985801947,294,392,75,43,Down
Tcon,ATF3,literature_signed,mlm,literature_signed / mlm,-1.20523312,0.228133665,0.610832055,332,392,84.6938776,43,Down
Tcon,ATF3,literature_signed,ulm,literature_signed / ulm,0.201319067,0.840451936,0.895264019,269,392,68.622449,43,Up
Tcon,ATF3,signed,consensus,signed / consensus,0.930947194,0.35188088,0.999032362,79,609,12.9720854,78,Up
Tcon,ATF3,signed,mlm,signed / mlm,0.95562792,0.339276989,0.812924146,135,609,22.1674877,78,Up
Tcon,ATF3,signed,ulm,signed / ulm,3.51021709,4.49108571e-4,0.0028490325,96,609,15.7635468,78,Up
Tcon,ATF3,unsigned,consensus,unsigned / consensus,2.14859191,0.0316667636,0.998670978,17,609,2.79146141,78,Up
Tcon,ATF3,unsigned,mlm,unsigned / mlm,2.3684229,0.0178777988,0.283759151,24,609,3.9408867,78,Up
Tcon,ATF3,unsigned,ulm,unsigned / ulm,8.84399105,1.0293902299999999e-18,6.268986519999999e-17,10,609,1.64203612,78,Up
Tcon,ATF3,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.49934529,8.81752739e-11,1.12634328e-8,3,602,0.49833887,79,Up
Tcon,CREB1,alias_recovered,consensus,alias_recovered / consensus,2.78935554,0.00528130516,0.268906454,10,611,1.63666121,298,Up
Tcon,CREB1,alias_recovered,mlm,alias_recovered / mlm,1.94376916,0.051943596,0.443528661,42,611,6.87397709,298,Up
Tcon,CREB1,alias_recovered,ulm,alias_recovered / ulm,7.58248057,3.59676615e-14,1.83135343e-12,12,611,1.96399345,298,Up
Tcon,CREB1,literature_signed,consensus,literature_signed / consensus,3.3022987600000002,9.58958706e-4,0.076630321,3,392,0.765306122,289,Up
Tcon,CREB1,literature_signed,mlm,literature_signed / mlm,1.53552749,0.124676878,0.469935924,60,392,15.3061224,289,Up
Tcon,CREB1,literature_signed,ulm,literature_signed / ulm,7.34006927,2.24898e-13,2.93866719e-11,3,392,0.765306122,289,Up
Tcon,CREB1,signed,consensus,signed / consensus,2.65361554,0.00796345028,0.404145102,11,609,1.80623974,289,Up
Tcon,CREB1,signed,mlm,signed / mlm,1.53507073,0.124789378,0.595893266,71,609,11.6584565,289,Up
Tcon,CREB1,signed,ulm,signed / ulm,7.34006927,2.24898e-13,1.14135735e-11,12,609,1.97044335,289,Up
Tcon,CREB1,unsigned,consensus,unsigned / consensus,2.91694322,0.00353480115,0.233236494,9,609,1.47783251,289,Up
Tcon,CREB1,unsigned,mlm,unsigned / mlm,2.19209721,0.0283891309,0.358162462,30,609,4.92610837,289,Up
Tcon,CREB1,unsigned,ulm,unsigned / ulm,9.01564046,2.20015631e-19,1.48877243e-17,9,609,1.47783251,289,Up
Tcon,CREB1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.27956942,1.45544083e-15,4.07246204e-13,16,602,2.65780731,298,Up
Tcon,EPAS1,alias_recovered,consensus,alias_recovered / consensus,1.08022086,0.28004384,0.999609915,58,611,9.49263502,64,Up
Tcon,EPAS1,alias_recovered,mlm,alias_recovered / mlm,0.94413658,0.345116389,0.828188548,136,611,22.2585925,64,Up
Tcon,EPAS1,alias_recovered,ulm,alias_recovered / ulm,4.21542317,2.50830307e-5,2.54859152e-4,60,611,9.81996727,64,Up
Tcon,EPAS1,literature_signed,consensus,literature_signed / consensus,0.774409102,0.438688903,0.985801947,74,392,18.877551,29,Up
Tcon,EPAS1,literature_signed,mlm,literature_signed / mlm,1.45584251,0.145458557,0.500173282,68,392,17.3469388,29,Up
Tcon,EPAS1,literature_signed,ulm,literature_signed / ulm,2.47216386,0.013441256,0.0474682193,95,392,24.2346939,29,Up
Tcon,EPAS1,signed,consensus,signed / consensus,1.09343946,0.274200896,0.999032362,58,609,9.52380952,63,Up
Tcon,EPAS1,signed,mlm,signed / mlm,1.09141264,0.275110406,0.770083148,120,609,19.7044335,63,Up
Tcon,EPAS1,signed,ulm,signed / ulm,4.17100947,3.05029044e-5,2.97217528e-4,62,609,10.180624,63,Up
Tcon,EPAS1,unsigned,consensus,unsigned / consensus,0.731944547,0.464202415,0.998670978,143,609,23.4811166,63,Up
Tcon,EPAS1,unsigned,mlm,unsigned / mlm,-0.0583721672,0.953453029,0.98509762,298,609,48.9326765,63,Down
Tcon,EPAS1,unsigned,ulm,unsigned / ulm,4.01694901,5.92556821e-5,3.00722587e-4,120,609,19.7044335,63,Up
Tcon,EPAS1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.73486881,0.00178476429,0.0158657715,151,602,25.0830565,64,Up
Tcon,HIF1A,alias_recovered,consensus,alias_recovered / consensus,3.38499005,7.11808344e-4,0.10588712,4,611,0.654664484,306,Up
Tcon,HIF1A,alias_recovered,mlm,alias_recovered / mlm,3.26511039,0.00109688099,0.0709532001,6,611,0.981996727,306,Up
Tcon,HIF1A,alias_recovered,ulm,alias_recovered / ulm,8.77040967,1.9771370999999997e-18,2.01338462e-16,6,611,0.981996727,306,Up
Tcon,HIF1A,literature_signed,consensus,literature_signed / consensus,2.50490074,0.0122485761,0.474808388,8,392,2.04081633,144,Up
