pathway_id,database,population,contrast,nes,pvalue,padj,set_size,direction,query_name,seed_population,seeded_from_this_population,gate,gse,gpl,hit_rank,pctVar,n_genes,n_seed_genes,frac_seed_genes,pathway_name,core_enrichment
CORESH_treg_up_fdr_logfc_GSE173807,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.28788873744861,8.62108981538635e-07,1.81042886123113e-06,34,Up,treg_up_fdr_logfc,treg,FALSE,fdr_logfc,GSE173807,GPL24676,5,7.24907043316995,50,13,0.26,CORESH_treg_up_fdr_logfc_GSE173807,PLAUR/ICAM1/CCR1/CCL20/CCRL2/VEGFA/PLAU/APOBEC3A/THBS1/FPR1/IL1RN/CD68/SERPINA1/C5AR1/MAFB/TNFAIP2/SCARF1/CD300E/SPHK1/TREM1/TLR4/IGSF6/RIN2/PTAFR
CORESH_cd8_up_fdr_only_GSE110390,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,-2.20606134355188,3.02114003012957e-06,5.76763096661099e-06,49,Down,cd8_up_fdr_only,cd8,FALSE,fdr_only,GSE110390,GPL18573,5,18.9675127957104,50,6,0.12,CORESH_cd8_up_fdr_only_GSE110390,RPS19/PABPC1/MT-ND4/RPLP0/TPT1/RPS3/RPL8/RPS4X/RPL13A/EEF1A1/NPM1/RPL3/RPL19/EEF2/RPL11/RPS6/RPL4/RPL5/RPS8/RPS2/YBX1/LDHB
CORESH_treg_up_fdr_logfc_GSE114065,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.11689687116242,1.85704569111348e-05,3.2498299594486e-05,49,Up,treg_up_fdr_logfc,treg,FALSE,fdr_logfc,GSE114065,GPL20301,3,7.27642323094005,50,15,0.3,CORESH_treg_up_fdr_logfc_GSE114065,GNA15/DUSP4/ZBED2/LAG3/BHLHE40/LIF/GZMB/NR4A1/MELK/CDK1/NUSAP1/EGR3/BUB1B/EGR1/AK4/TOP2A/CDCA5/TYMS/NCAPG/KIFC1/CDC6/CEP55/CDC45/TPX2/HJURP/TNFRSF4/TK1/UBE2C/DTL/ASPM/MCM10
CORESH_treg_up_fdr_only_GSE237034,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,-2.0332529969649,2.83367535020772e-05,4.57747556572016e-05,48,Down,treg_up_fdr_only,treg,FALSE,fdr_only,GSE237034,GPL24676,1,18.6493394093177,50,8,0.16,CORESH_treg_up_fdr_only_GSE237034,TMSB10/RPL28/RPL41/FTL/TPM2/MALAT1/RPS19/MT-ND3/RPL26/MT-ND4/RPL17/RPS27A/RPL10/TPT1/RPS4X/RPS14/RPL15/RPL13/RPL12/RPL18A/EEF1A1/RPS23/RPL19/RPS12/RPL29/RPL32/RPS8/RPS2
CORESH_tcon_up_fdr_only_GSE216963,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,1.97017399227806,0.000200047826515563,0.000300071739773344,49,Up,tcon_up_fdr_only,tcon,TRUE,fdr_only,GSE216963,GPL24676,3,20.230892886303,50,25,0.5,CORESH_tcon_up_fdr_only_GSE216963,S100A11/CD74/HLA-DRA/VIM/S100A10/CTSD/S100A6/ANXA1/SH3BGRL3/C1QA/C1QB/LGALS1/S100A4/TSPO/HSPA1A/FCER1G/CSTB/CYBA/APOE/APOC1/JUND/FOS/TYROBP/HSPA1B
CORESH_cd8_up_fdr_logfc_GSE222740,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,1.92169028763933,0.000369308689305876,0.000517032165028226,44,Up,cd8_up_fdr_logfc,cd8,FALSE,fdr_logfc,GSE222740,GPL24676,4,9.23372713847976,50,25,0.5,CORESH_cd8_up_fdr_logfc_GSE222740,GNA15/CCR5/DUSP4/NCF4/ITGA1/CSF1/CKAP2L/SLCO4A1/MELK/CDK1/ESCO2/KIF23/TOP2A/DPP4/ESPL1/E2F7/KIFC1/CEP55/KIF4A/E2F8/TPX2/HJURP
CORESH_treg_up_fdr_logfc_GSE199729,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,1.72384684935953,0.00391513676525052,0.0051386170043913,43,Up,treg_up_fdr_logfc,treg,FALSE,fdr_logfc,GSE199729,GPL11154,2,7.29497797656266,50,15,0.3,CORESH_treg_up_fdr_logfc_GSE199729,CCL5/F2R/CCR5/IFNG/CXCR6/HLA-DRB1/PRR5L/FASLG/RCAN2/CRIM1/MSC/IL7/CCR1/GZMB/GNLY/PPP2R2B/ADRB2/EGR1/GZMH
CORESH_cd8_up_fdr_only_GSE123290,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,-1.6035939799487,0.0095402890146378,0.0117850629004349,49,Down,cd8_up_fdr_only,cd8,FALSE,fdr_only,GSE123290,GPL20301,4,19.309673828753,50,10,0.2,CORESH_cd8_up_fdr_only_GSE123290,PABPC1/MT-ND4/EEF1G/RPLP0/RPL10/RPS3/RPL8/RPL13A/EEF1A1/NPM1/RPL19/EEF2/RPSA/RPL4/RPS2/YBX1
CORESH_tcon_up_fdr_only_GSE118383,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,1.30134248497225,0.111515535158517,0.130101457684936,45,Up,tcon_up_fdr_only,tcon,TRUE,fdr_only,GSE118383,GPL15520,1,20.6537003149485,50,13,0.26,CORESH_tcon_up_fdr_only_GSE118383,LDHA/TPM4/AHNAK/ANXA2/ENO1/VIM/GAPDH/FN1/PKM/THBS1/PSAP
CORESH_tcon_up_fdr_only_GSE173929,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,-1.1810560081595,0.196011515067094,0.216644306126788,46,Down,tcon_up_fdr_only,tcon,TRUE,fdr_only,GSE173929,GPL24014,2,20.4375825417751,50,12,0.24,CORESH_tcon_up_fdr_only_GSE173929,HSPA8/MALAT1/MT-ND3/PABPC1/MT-ND4/HNRNPA1/RPLP0/TPT1/RPL8/RPL13A/EEF1A1/RPL3/EEF2/RPL4/RPS2
