query_name,population,gate,gse,gpl,pctVar,pval,size,rank
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE158317,GPL16791,4.27224704744021,,451,109
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE79338,GPL15520,4.2657072001031,,427,110
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE174279,GPL24676,4.25451580880516,,491,111
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE174282,GPL24676,4.25451580880516,,491,112
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE233305,GPL24676,4.23915770687678,,486,113
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE152908,GPL18573,4.23771618028724,,300,114
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110390,GPL18573,4.23726252831837,,447,115
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE174860,GPL21290,4.23232796893031,,392,116
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE27838,GPL570,4.22610156325969,,390,117
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE167296,GPL21290,4.21665527158666,,475,118
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE140844,GPL11154,4.21068584902844,,353,119
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE174566,GPL11154,4.19539631858753,,410,120
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE120101,GPL17303,4.1807608313168,,438,121
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE164425,GPL21290,4.18050819011133,,457,122
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE164501,GPL21290,4.18050819011133,,457,123
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE232853,GPL24676,4.15501737190141,,320,124
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE142811,GPL11154,4.13897133813912,,432,125
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE15659,GPL570,4.11382348826678,,299,126
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE139324,GPL18573,4.11052626456701,,463,127
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE161354,GPL24676,4.10879629564263,,421,128
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE189651,GPL24676,4.10844212850719,,456,129
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE240772,GPL15520,4.09052351245957,,409,130
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE240774,GPL15520,4.09052351245957,,409,131
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE128359,GPL11154,4.08675064882587,,412,132
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE114953,GPL16791,4.08341060086566,,466,133
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE229861,GPL22790,4.07622455653461,,434,134
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110268,GPL20301,4.0750813688241,,453,135
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE94396,GPL16791,4.07336644977637,,350,136
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE154474,GPL11154,4.05640623122009,,434,137
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE136451,GPL24676,4.02698138535911,,434,138
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE145647,GPL24676,4.00108260882094,,431,139
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE145648,GPL24676,4.00108260882094,,431,140
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE215457,GPL20795,4.00086639509869,,348,141
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE234384,GPL24676,3.97750811300459,,464,142
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE79029,GPL11154,3.97230479040041,,440,143
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE79032,GPL11154,3.97230479040041,,440,144
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE193517,GPL24676,3.96937687048996,,453,145
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE205319,GPL18573,3.96923040805196,,433,146
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE107838,GPL21311,3.96354913557534,,448,147
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE130836,GPL23227,3.95409133571521,,412,148
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE153887,GPL24676,3.95276411275719,,460,149
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE174743,GPL21697,3.9517472356395,,447,150
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE213957,GPL21697,3.93752721121559,,458,151
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE34252,GPL4133,3.93136039244244,,435,152
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE228870,GPL11154,3.91430718020911,,272,153
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE163482,GPL18573,3.9088496937794,,426,154
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE163497,GPL18573,3.9088496937794,,426,155
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE180268,GPL21290,3.88551836990059,,480,156
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE144108,GPL18573,3.87743449570492,,308,157
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE109182,GPL10999,3.87131465220655,,433,158
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE99089,GPL20301,3.86408700521728,,414,159
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE121327,GPL15520,3.8418466029792,,488,160
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE200469,GPL20301,3.8105181848626,,436,161
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE173220,GPL20301,3.80772923078645,,466,162
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE78913,GPL18573,3.80444265992931,,409,163
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE150814,GPL570,3.80368875565127,,399,164
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE130870,GPL18573,3.80157395738433,,411,165
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE139816,GPL16791,3.79176727945987,,404,166
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE139817,GPL16791,3.79176727945987,,404,167
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE132228,GPL21697,3.78934359726618,,382,168
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE114724,GPL18573,3.78463676042819,,414,169
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE114727,GPL18573,3.78463676042819,,414,170
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE166327,GPL23227,3.77612784877807,,404,171
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE64180,GPL6244,3.76893280011918,,378,172
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE64332,GPL18460,3.76225694824448,,423,173
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE166657,GPL11154,3.75978851169158,,395,174
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE166375,GPL10558,3.75812322489283,,447,175
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE36765,GPL570,3.72574225059231,,375,176
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE159774,GPL21290,3.72259774133798,,456,177
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE89578,GPL10558,3.72080697530325,,466,178
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE225369,GPL24676,3.71539780284496,,430,179
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE143365,GPL23227,3.70515614466487,,462,180
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE150084,GPL24676,3.69844029477116,,429,181
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE162025,GPL20795,3.68923187910847,,446,182
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE112101,GPL21290,3.68508093611624,,383,183
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE158144,GPL24676,3.68368758072832,,479,184
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE191040,GPL18573,3.66357102432175,,426,185
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE30027,GPL6947,3.64834738381025,,494,186
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE81493,GPL18573,3.6420270800138,,460,187
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE228419,GPL21290,3.64056732001976,,458,188
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE144585,GPL20301,3.64043626725452,,350,189
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE160957,GPL18573,3.63176973354573,,434,190
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE40512,GPL570,3.6302329373688,,331,191
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE248217,GPL24676,3.62594359326481,,337,192
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE207057,GPL11154,3.62215243993163,,421,193
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE168794,GPL11154,3.61794934025399,,511,194
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE229791,GPL24676,3.6074343568404,,468,195
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE210356,GPL24676,3.60661439963765,,433,196
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE135623,GPL11154,3.60171046594375,,472,197
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE215024,GPL24676,3.59902900169106,,417,198
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE215025,GPL24676,3.59902900169106,,417,199
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE237034,GPL24676,3.59685274426887,,440,200
cd8_up_fdr_only,cd8,fdr_only,GSE173929,GPL24014,20.0229430674258,,1992,1
cd8_up_fdr_only,cd8,fdr_only,GSE200469,GPL20301,19.4690297145388,,1986,2
cd8_up_fdr_only,cd8,fdr_only,GSE118383,GPL15520,19.3532638901262,,1938,3
cd8_up_fdr_only,cd8,fdr_only,GSE123290,GPL20301,19.309673828753,,1949,4
cd8_up_fdr_only,cd8,fdr_only,GSE110390,GPL18573,18.9675127957104,,1915,5
cd8_up_fdr_only,cd8,fdr_only,GSE158317,GPL16791,18.8571799155161,,1959,6
cd8_up_fdr_only,cd8,fdr_only,GSE87419,GPL18573,18.7757593175664,,1884,7
cd8_up_fdr_only,cd8,fdr_only,GSE87424,GPL18573,18.7757593175664,,1884,8
cd8_up_fdr_only,cd8,fdr_only,GSE166657,GPL11154,18.7236255924145,,1827,9
cd8_up_fdr_only,cd8,fdr_only,GSE86566,GPL11154,18.6631789244678,,1946,10
cd8_up_fdr_only,cd8,fdr_only,GSE232161,GPL24676,18.6063197663108,,1893,11
cd8_up_fdr_only,cd8,fdr_only,GSE229861,GPL22790,18.388465830551,,1911,12
cd8_up_fdr_only,cd8,fdr_only,GSE152908,GPL18573,18.2208651173374,,1286,13
cd8_up_fdr_only,cd8,fdr_only,GSE79338,GPL15520,18.1975573775185,,1819,14
cd8_up_fdr_only,cd8,fdr_only,GSE136451,GPL24676,18.0480207427493,,1869,15
cd8_up_fdr_only,cd8,fdr_only,GSE145284,GPL20301,17.9481404841021,,1822,16
cd8_up_fdr_only,cd8,fdr_only,GSE216963,GPL24676,17.9462938698789,,1978,17
cd8_up_fdr_only,cd8,fdr_only,GSE44267,GPL11154,17.8641380000092,,1865,18
cd8_up_fdr_only,cd8,fdr_only,GSE181061,GPL18573,17.7774231585154,,1998,19
cd8_up_fdr_only,cd8,fdr_only,GSE181064,GPL18573,17.7774231585154,,1998,20
cd8_up_fdr_only,cd8,fdr_only,GSE110268,GPL20301,17.7763179401026,,1946,21
cd8_up_fdr_only,cd8,fdr_only,GSE79029,GPL11154,17.7488874188961,,1922,22
cd8_up_fdr_only,cd8,fdr_only,GSE79032,GPL11154,17.7488874188961,,1922,23
cd8_up_fdr_only,cd8,fdr_only,GSE227392,GPL20795,17.6903691646838,,1717,24
cd8_up_fdr_only,cd8,fdr_only,GSE164381,GPL24676,17.6599246356252,,1855,25
cd8_up_fdr_only,cd8,fdr_only,GSE130870,GPL18573,17.6084240526566,,1665,26
cd8_up_fdr_only,cd8,fdr_only,GSE210356,GPL24676,17.4917896125064,,1910,27
cd8_up_fdr_only,cd8,fdr_only,GSE240772,GPL15520,17.3832351766329,,1737,28
cd8_up_fdr_only,cd8,fdr_only,GSE240774,GPL15520,17.3832351766329,,1737,29
cd8_up_fdr_only,cd8,fdr_only,GSE82061,GPL11154,17.3473387055765,,1910,30
cd8_up_fdr_only,cd8,fdr_only,GSE142811,GPL11154,17.3351356865984,,1877,31
cd8_up_fdr_only,cd8,fdr_only,GSE181533,GPL24676,17.3067171801994,,1939,32
cd8_up_fdr_only,cd8,fdr_only,GSE109182,GPL10999,17.2825148244366,,1893,33
cd8_up_fdr_only,cd8,fdr_only,GSE181881,GPL24676,17.2763085557849,,1894,34
cd8_up_fdr_only,cd8,fdr_only,GSE227391,GPL20795,17.1105344224766,,1717,35
cd8_up_fdr_only,cd8,fdr_only,GSE214361,GPL24676,17.0756285575261,,1888,36
cd8_up_fdr_only,cd8,fdr_only,GSE260516,GPL24676,17.0049665005432,,1926,37
cd8_up_fdr_only,cd8,fdr_only,GSE160957,GPL18573,17.0034745244002,,1808,38
cd8_up_fdr_only,cd8,fdr_only,GSE237034,GPL24676,16.9754775024736,,1894,39
cd8_up_fdr_only,cd8,fdr_only,GSE101157,GPL20301,16.9622569734465,,1804,40
cd8_up_fdr_only,cd8,fdr_only,GSE225369,GPL24676,16.9462437886615,,1822,41
cd8_up_fdr_only,cd8,fdr_only,GSE237817,GPL18573,16.9267180991335,,1752,42
cd8_up_fdr_only,cd8,fdr_only,GSE174749,GPL21697,16.9001723907343,,1871,43
cd8_up_fdr_only,cd8,fdr_only,GSE195542,GPL20301,16.8928073769167,,2043,44
cd8_up_fdr_only,cd8,fdr_only,GSE189651,GPL24676,16.7689782914175,,1895,45
cd8_up_fdr_only,cd8,fdr_only,GSE202919,GPL24676,16.7156464563749,,1853,46
cd8_up_fdr_only,cd8,fdr_only,GSE226391,GPL24676,16.7156464563749,,1853,47
cd8_up_fdr_only,cd8,fdr_only,GSE228870,GPL11154,16.7035969557132,,1156,48
cd8_up_fdr_only,cd8,fdr_only,GSE166148,GPL16791,16.6468409977404,,1822,49
cd8_up_fdr_only,cd8,fdr_only,GSE166150,GPL16791,16.6468409977404,,1822,50
cd8_up_fdr_only,cd8,fdr_only,GSE220730,GPL16791,16.5810724650837,,1910,51
cd8_up_fdr_only,cd8,fdr_only,GSE232073,GPL24676,16.4980385701625,,1893,52
cd8_up_fdr_only,cd8,fdr_only,GSE232074,GPL24676,16.4980385701625,,1893,53
cd8_up_fdr_only,cd8,fdr_only,GSE76661,GPL11154,16.4954277094898,,1973,54
cd8_up_fdr_only,cd8,fdr_only,GSE245463,GPL24676,16.4952483943371,,1822,55
cd8_up_fdr_only,cd8,fdr_only,GSE197658,GPL24676,16.3990348002413,,1948,56
cd8_up_fdr_only,cd8,fdr_only,GSE145647,GPL24676,16.3937144771438,,1788,57
cd8_up_fdr_only,cd8,fdr_only,GSE145648,GPL24676,16.3937144771438,,1788,58
cd8_up_fdr_only,cd8,fdr_only,GSE107838,GPL21311,16.3269907078251,,1883,59
cd8_up_fdr_only,cd8,fdr_only,GSE205319,GPL18573,16.3091736423878,,1890,60
cd8_up_fdr_only,cd8,fdr_only,GSE216704,GPL24676,16.3087187523916,,1974,61
cd8_up_fdr_only,cd8,fdr_only,GSE216705,GPL24676,16.3087187523916,,1974,62
cd8_up_fdr_only,cd8,fdr_only,GSE229791,GPL24676,16.3076671224161,,2039,63
cd8_up_fdr_only,cd8,fdr_only,GSE193517,GPL24676,16.28970673295,,1952,64
cd8_up_fdr_only,cd8,fdr_only,GSE40243,GPL11154,16.2791322471995,,1929,65
cd8_up_fdr_only,cd8,fdr_only,GSE234357,GPL24676,16.228842933615,,1980,66
cd8_up_fdr_only,cd8,fdr_only,GSE150084,GPL24676,16.1760727324948,,1889,67
cd8_up_fdr_only,cd8,fdr_only,GSE185795,GPL24676,16.1306386112357,,1822,68
cd8_up_fdr_only,cd8,fdr_only,GSE153887,GPL24676,16.0995759631181,,1852,69
cd8_up_fdr_only,cd8,fdr_only,GSE66627,GPL11154,16.0951781218172,,1837,70
