gene_symbol,log2FoldChange,pvalue,padj,neg_log10_padj,sf_direction,passes_de_gates,arm,hypoxia_purged,le_program,reference_axis,label_drawn,n_genes_tested,n_gates_sf_high_all_genes,n_gates_blood_high_all_genes,contrast,evidence_tier
NAB2,1.58351021,5.44290842e-10,1.22969734e-08,7.91020177,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SEMA4A,2.18464749,1.16062414e-09,2.48331425e-08,7.60496832,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ANXA2,0.881194824,4.83181885e-09,9.12368679e-08,7.03982963,SF_high,False,up,True,hypoxia_HIF,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
DENND3,1.56778033,7.61213287e-09,1.38914058e-07,6.8572538,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TMEM205,0.665357362,3.38219395e-08,5.41362904e-07,6.26651151,SF_high,False,up,False,other,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CCL20,2.11240466,4.79281851e-08,7.40009085e-07,6.13076295,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CD53,0.346898972,6.30936566e-07,7.75268102e-06,5.11054808,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
EGR3,3.98029202,1.29963075e-06,1.47754643e-05,4.83045886,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
HAVCR1,-1.82848138,1.3884266e-06,1.56841193e-05,4.80453986,blood_high,True,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
NR4A2,-1.0976665,1.68688854e-06,1.87560257e-05,4.72685918,blood_high,True,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
UPP1,0.798359579,3.54102844e-06,3.64754299e-05,4.43799958,SF_high,False,up,False,other,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ATP2B4,0.531372537,4.84777972e-06,4.79455585e-05,4.31925162,SF_high,False,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PLXNB2,2.44812691,5.58839076e-06,5.4358054e-05,4.2647361,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PLK2,-2.96503337,1.78174676e-05,0.000151686304,3.81905363,blood_high,True,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TP73,3.77120966,1.90697729e-05,0.000161402632,3.79208939,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
